# Detected language: en (p=1.00)

[0.00s -> 1.48s]  Hello, hello.
[1.48s -> 3.24s]  Welcome.
[3.24s -> 9.20s]  Welcome back to day two, CS110.
[9.20s -> 11.36s]  So we have a lot to cover.
[11.36s -> 13.28s]  We have a lot to cover every day.
[13.28s -> 15.40s]  That's one of the things about this class is that
[15.40s -> 18.16s]  there's lots and lots of material.
[18.16s -> 19.44s]  So a couple things.
[19.44s -> 22.84s]  I put out the first assignment, which we're going
[22.84s -> 24.04s]  to talk about today.
[24.04s -> 27.18s]  So hopefully we'll get started on that if you
[27.18s -> 28.88s]  haven't already.
[28.92s -> 32.36s]  Please re-download the assignment if you downloaded it
[32.36s -> 34.44s]  last night or early this morning.
[34.44s -> 36.88s]  I made a couple not critical changes.
[36.88s -> 40.92s]  But for instance, I found out that for whatever reason, the
[40.92s -> 47.16s]  PDF, if you open the PDF and try to copy some of the
[47.16s -> 51.40s]  commands from the PDF and then try to run it, it will
[51.40s -> 53.44s]  look like your program's not working, but it's because
[53.44s -> 56.60s]  there's some hidden character in the pasted thing.
[56.60s -> 58.12s]  So that confused me for a while.
[58.16s -> 60.16s]  I think my program's working, but it didn't look like it.
[60.16s -> 62.16s]  And so re-download that.
[62.16s -> 63.44s]  I think I fixed that.
[63.44s -> 66.24s]  That would be a really annoying bug to know that your
[66.24s -> 68.60s]  program's working fine and then it's just because you
[68.60s -> 71.28s]  copied a code and it had hidden characters in it.
[71.28s -> 75.20s]  So please re-download that.
[75.20s -> 77.12s]  Let's see, Piazza is up and going.
[77.12s -> 79.32s]  There's been a few questions on Piazza.
[79.32s -> 82.78s]  Piazza's probably your first line of defense as far as
[82.78s -> 86.40s]  trying to get information about the
[86.44s -> 88.24s]  assignments and so forth.
[88.24s -> 89.56s]  I look at Piazza all the time.
[89.56s -> 91.16s]  The TAs look at Piazza all the time.
[91.16s -> 94.92s]  And so it's a good place to kind of get started
[94.92s -> 95.76s]  if you have a question.
[95.76s -> 98.52s]  Obviously coming to office hours is a great place too,
[98.52s -> 100.72s]  but lots of questions get answered on Piazza
[100.72s -> 104.28s]  before they get answered in office hours or whatever.
[104.28s -> 106.12s]  And you might as well check there.
[106.12s -> 106.96s]  All right.
[107.92s -> 112.28s]  So on Monday, we started out with Umask.
[112.28s -> 116.84s]  And the questions afterwards kind of indicated
[116.84s -> 118.48s]  that I confused a bunch of you.
[118.48s -> 120.36s]  So I apologize about that.
[120.36s -> 122.12s]  I just wanted to redo,
[122.12s -> 127.40s]  just talk about Umask a little bit more,
[127.40s -> 129.12s]  just to kind of give you the overview of it.
[129.12s -> 131.12s]  By the way, this is not the most important part
[131.12s -> 131.96s]  of the class.
[131.96s -> 133.60s]  So I wanted to start with it the other day.
[133.60s -> 134.88s]  I did not mean to confuse anybody,
[134.88s -> 136.80s]  but I just wanted to talk about permissions
[136.80s -> 137.80s]  a little bit more,
[137.80s -> 140.76s]  specifically as it relates to Umask
[140.76s -> 142.60s]  so that I kind of unconfuse you
[142.60s -> 146.36s]  or get your questions answered right now.
[146.36s -> 151.36s]  Okay, the Umask is all about allowing the user
[151.56s -> 156.56s]  to control what the default permissions are for files, okay?
[157.32s -> 161.48s]  So it's not so much about the program
[161.48s -> 163.60s]  trying to set various permissions.
[163.60s -> 164.92s]  It's about the user saying,
[164.92s -> 169.52s]  hey, look, when a program creates a file for me,
[169.52s -> 172.28s]  I don't want it to give read access
[172.28s -> 173.84s]  to anybody in the world, right?
[173.84s -> 177.28s]  That's up to the user to be able to control that.
[177.28s -> 180.00s]  So if you go to your terminal,
[180.00s -> 181.80s]  in fact, I'll just do that right now,
[181.80s -> 185.92s]  and you type Umask, if you, hang on.
[187.20s -> 190.56s]  I don't know why my, oh, hold on a sec.
[190.56s -> 193.04s]  No, hang on, let me try this again.
