# Detected language: en (p=1.00)

[0.00s -> 2.48s]  Welcome to Wednesday.
[2.48s -> 4.48s]  Hope the assignment's going well.
[4.48s -> 7.12s]  I will go back to my office right after class today.
[7.12s -> 9.12s]  I guess you get the benefit of coming to class
[9.12s -> 9.84s]  and overhearing this.
[9.84s -> 10.72s]  I'll go back to my office today
[10.72s -> 12.48s]  and then stay there for about 45 minutes
[12.48s -> 16.00s]  to an hour for anybody who has questions on homework.
[16.00s -> 18.20s]  I also have office hours tomorrow morning
[18.20s -> 21.24s]  from 10 until noon.
[21.24s -> 24.00s]  So feel free to stop by Gates 201
[24.00s -> 28.24s]  if you want to go to my office hours.
[28.28s -> 30.40s]  And then, of course, there's regular office hours
[30.40s -> 34.16s]  with the TAs this evening and tomorrow as well.
[34.16s -> 36.92s]  The assignment is due tomorrow.
[36.92s -> 38.36s]  Hopefully it's going all right.
[38.36s -> 40.34s]  Remember, this is a real file system
[40.34s -> 42.56s]  you guys are actually looking at.
[42.56s -> 45.00s]  So all the little nuanced parts to it,
[45.00s -> 46.20s]  well, that's real life.
[46.20s -> 48.20s]  That happens in real programs.
[48.20s -> 52.10s]  So you're getting a little bit of a taste of that.
[52.10s -> 54.26s]  Let's see, I put a joke up here.
[55.20s -> 57.80s]  The barman asks what the first one wants
[58.32s -> 60.20s]  to race conditions to walk into a bar.
[60.20s -> 62.74s]  So I know it's hilarious, isn't it?
[64.92s -> 69.64s]  So the joke is, you always have to explain your jokes
[69.64s -> 72.06s]  if they're not that hilarious, right?
[72.06s -> 73.80s]  So the joke is that this is a race condition.
[73.80s -> 75.24s]  We haven't really talked too much
[75.24s -> 77.72s]  about race conditions yet,
[77.72s -> 80.28s]  but we will start to see many, many race conditions.
[80.28s -> 82.06s]  We've seen a few here and there.
[82.06s -> 84.08s]  A race condition is simply
[84.08s -> 87.28s]  when two things are happening simultaneously
[87.64s -> 89.48s]  and you don't know and you can't predict
[89.48s -> 92.12s]  which one will actually get to where
[92.12s -> 93.64s]  it's trying to go first.
[93.64s -> 97.46s]  That becomes an issue if you're doing things
[97.46s -> 99.72s]  like trying to wait for something to happen
[99.72s -> 101.16s]  or rather not wait for something,
[101.16s -> 103.24s]  if you forget to wait for something to happen
[103.24s -> 106.56s]  and it may be out of order from what you expected.
[106.56s -> 108.14s]  So you have to think about that.
[108.14s -> 112.26s]  It makes programming concurrently tricky
[112.26s -> 113.72s]  because you have to think about that.
[113.72s -> 115.40s]  So today we're gonna do a few examples
[115.40s -> 117.32s]  where we're gonna see race conditions
[117.32s -> 119.84s]  and we're gonna see how one way of handling them.
[120.76s -> 125.76s]  Okay, so this is what I introduced on Monday.
[125.76s -> 128.16s]  We're talking about signals now, okay?
[128.16s -> 133.16s]  And signals are a way to send a message,
[133.40s -> 134.24s]  or not even a message,
[134.24s -> 137.68s]  basically a way to say to another process,
[137.68s -> 139.10s]  something has happened.
[139.10s -> 142.18s]  You don't even get to say like any message itself.
[142.18s -> 144.16s]  The best you can do is you can actually pass
[144.16s -> 148.40s]  a signal number which is the actual signal that gets sent,
[148.40s -> 149.84s]  but you don't get any other information.
[149.84s -> 152.14s]  If you want to pass other information
[152.14s -> 152.98s]  to the other signal,
[152.98s -> 154.44s]  you have to do it in such a way
[154.44s -> 157.88s]  that both processes have access to it,
[157.88s -> 160.00s]  which generally would mean shared memory
[160.00s -> 163.36s]  or a file or something like that.
[163.36s -> 165.72s]  And that becomes a little bit trickier to do too.
[165.72s -> 168.52s]  So it's not like you have this situation
[168.52s -> 170.12s]  where you're just signaling another process
[170.12s -> 172.30s]  and then being able to tell it lots of stuff.
[172.30s -> 174.34s]  It's gotta be a logic sort of thing
[174.34s -> 176.26s]  like when this signal happens,
[176.26s -> 179.14s]  you're going to do this because the signal happened.
[179.14s -> 180.94s]  That's what we're gonna do.
[180.94s -> 185.06s]  We're gonna see examples as we go through this, okay?
[185.06s -> 190.06s]  A signal handler is a function that you write
[191.06s -> 192.86s]  that goes into a process.
[192.86s -> 195.06s]  And when that signal arrives at the process,
[195.06s -> 197.58s]  the signal handler gets called, okay?
[197.58s -> 199.86s]  And the ones that we're gonna focus on
[199.86s -> 203.70s]  are when a child has some change of state,
[203.70s -> 206.98s]  when it ends, when it stops, when it's continued.
[206.98s -> 208.62s]  And we haven't even talked about how you continue
[208.62s -> 210.72s]  a child that's stopped, but we'll get there.
[210.72s -> 212.98s]  And that's a function that you write
[212.98s -> 216.86s]  and it gets called when that happens, okay?
[216.86s -> 220.90s]  All right, there are lots of different types of signals.
[220.90s -> 223.22s]  As we said, there's signals that happen
[223.22s -> 225.30s]  because something bad goes wrong,
[225.30s -> 229.06s]  like you try to divide by zero, that sends a signal.
[229.10s -> 231.02s]  Or if you try to, if you do control C,
[231.02s -> 232.44s]  well, your program gets a signal
[232.44s -> 234.42s]  that it actually can't block.
[234.42s -> 237.30s]  It actually is going to kill your program, generally.
[237.30s -> 239.38s]  There's some limited ways around that,
[239.38s -> 241.58s]  but that's generally what's gonna happen.
[241.58s -> 243.98s]  And there are other types of signals
[243.98s -> 246.74s]  that you can send that are user signals.
[246.74s -> 247.78s]  There's a couple of separate ones
[247.78s -> 249.98s]  that are specifically for you to use
[249.98s -> 251.14s]  for whatever purpose you want.
[251.14s -> 255.16s]  That's another type of signal, okay?
[255.16s -> 256.26s]  All right, so as I said,
[256.26s -> 258.98s]  SIGCHILD is the one we're gonna care the most about,
[259.86s -> 260.70s]  at least for this class,
[260.70s -> 264.46s]  and it happens whenever a child process
[264.46s -> 267.30s]  of a particular parent changes state.
[267.30s -> 269.00s]  And so we're going to be able to capture that.
[269.00s -> 271.50s]  That is generally when we're going to want
[271.50s -> 275.40s]  to do our wait PID for the child
[275.40s -> 277.42s]  to actually find out what happened to the child.
[277.42s -> 278.54s]  What did it just do?
[278.54s -> 279.38s]  Did it end?
[279.38s -> 281.38s]  Did it die abnormally?
[281.38s -> 282.34s]  What happened to it?
[282.34s -> 284.50s]  So we're gonna generally see wait PIDs
[284.50s -> 288.94s]  inside of the SIGCHILD handler, okay?
[289.86s -> 293.38s]  The first one that we talked about is this program
[293.38s -> 294.64s]  that I'm gonna just retype
[294.64s -> 296.26s]  so that you kind of get the feeling
[296.26s -> 298.90s]  or you actually kind of see what it is
[298.90s -> 302.30s]  kind of in more, a little bit slower,
[302.30s -> 303.78s]  so you can kind of process what's going on.
[303.78s -> 305.88s]  I know a lot of times I've run through code really fast
[305.88s -> 307.42s]  and you go, ah, I've never seen that before.
[307.42s -> 308.36s]  How can I even process it?
[308.36s -> 310.42s]  So I'll try to like slow down a little bit
[310.42s -> 311.98s]  in that sense more often
[311.98s -> 314.90s]  and actually type things out, explain as I'm typing,
[314.90s -> 318.80s]  give you a second to process it, and so forth.
[319.80s -> 322.28s]  So let's start out.
[322.28s -> 323.98s]  We will write a main function.
[323.98s -> 326.28s]  This is the example that you talked about on Monday
[326.28s -> 330.20s]  where you have this model of a dad
[330.20s -> 333.84s]  taking his five children to Disneyland
[333.84s -> 335.92s]  and he lets them all go off and play.
[335.92s -> 337.68s]  They each play for a certain amount of time
[337.68s -> 338.72s]  and then they come back.
[338.72s -> 341.40s]  In the meantime, dad sleeps, okay?
[341.40s -> 343.46s]  And I actually said something on Monday
[343.46s -> 346.00s]  that I was very confused about and I figured out why.
[346.00s -> 347.96s]  It was because I hadn't typed the program in.
[347.96s -> 350.68s]  When I get there, I'll show you what I'm talking about.
[351.64s -> 353.42s]  But in this case, what we're gonna do
[353.42s -> 354.56s]  is we're gonna start out.
[354.56s -> 358.20s]  So let me put it a little higher on the screen here.
[358.20s -> 359.04s]  Here we go.
[359.04s -> 361.88s]  What we're gonna do is we're going to start out here
[361.88s -> 363.68s]  and we're just gonna say, print F,
[363.68s -> 368.68s]  let my five children play while I take a nap.
[371.84s -> 373.24s]  Look, if I was a dad going to Disneyland,
[373.24s -> 374.18s]  I'd be on all the rides too,
[374.18s -> 375.60s]  so I don't know what he's doing with taking a nap.
[375.60s -> 379.56s]  But anyway, that's what this dad is doing, okay?
[379.56s -> 382.84s]  And then we're gonna set up the signal handler
[382.84s -> 387.84s]  by saying, signal, sig, C-H-L-D.
[387.84s -> 390.00s]  By the way, the reason they left out all those,
[390.00s -> 392.88s]  like what they left out letters and things
[392.88s -> 394.92s]  is because it used to be that you had to have
[394.92s -> 398.04s]  a certain file length or your certain name length
[398.04s -> 400.84s]  limitation and so a lot of these names
[400.84s -> 403.28s]  are really short and kind of leaving out letters
[403.28s -> 406.56s]  just because that's historical in this case.
[406.56s -> 409.56s]  So we are gonna tell it what function we need
[409.56s -> 412.50s]  to set as the signal handler.
[412.50s -> 415.48s]  In this case, it's gonna be reap child, okay?
[415.48s -> 417.10s]  And then we're going to start up
[417.10s -> 418.94s]  all these children processes, okay?
[418.94s -> 423.32s]  So we're just gonna go for size T, I equals zero,
[423.32s -> 425.56s]  I, or actually we'll start with one.
[425.56s -> 427.48s]  So we just get one, two, three, four, five.
[427.48s -> 431.80s]  I is less than or equal to five, I plus plus.
[431.80s -> 433.92s]  And then we're just gonna fork.
[433.92s -> 434.92s]  So we're gonna have this kind of,
[434.92s -> 437.70s]  we're not gonna actually capture the PID from the child.
[437.70s -> 438.80s]  But in this case, we're just gonna say,
[438.80s -> 442.48s]  if fork equals zero, that means we are the child
[442.48s -> 443.96s]  if we're in this block.
[443.96s -> 448.96s]  We're going to sleep for three times the,
[449.56s -> 451.44s]  I guess I said kid before, didn't I?
[452.32s -> 453.98s]  Do a kid like this.
[455.04s -> 459.84s]  Okay, D and then kid, there we go.
[459.84s -> 462.96s]  Sleep for three times, whatever the kid index is,
[462.96s -> 466.28s]  index starting at one, right?
[466.28s -> 469.48s]  Sleep in this case is gonna emulate playing,
[470.68s -> 473.10s]  playing or whatever, playing at Disneyland, okay?
[473.10s -> 476.32s]  And then after the child wakes up from the sleep
[476.32s -> 479.84s]  or finishes playing, we're just gonna say print F.
[479.84s -> 483.38s]  We're gonna say child and then because we use size T,
[483.38s -> 487.94s]  we have to use like ZU or something like that is tired,
[487.98s -> 492.02s]  returns to dad, not data, to dad.
[492.02s -> 493.10s]  There we go.
[493.10s -> 495.58s]  I guess it makes sense in computer science.
[495.58s -> 497.42s]  Okay, so there we go.
[497.42s -> 500.30s]  And I might need a quote on there.
[500.30s -> 504.62s]  All right, and then we're going to just return zero
[504.62s -> 506.66s]  from the child, okay?
[506.66s -> 508.14s]  So that's what's gonna happen in the child.
[508.14s -> 509.86s]  We're gonna do that five times.
[509.86s -> 511.58s]  Boom, and they're gonna sleep for three seconds,
[511.58s -> 513.70s]  six seconds, nine seconds, et cetera, yeah.
[513.74s -> 514.58s]  Yeah.
[517.70s -> 519.86s]  Probably, thank you very much.
[519.86s -> 521.70s]  How about kid?
[521.70s -> 522.54s]  Thank you very much.
[522.54s -> 523.98s]  That would be a bad mistake.
[523.98s -> 525.82s]  Probably would have gotten a warning, I hope.
[525.82s -> 527.00s]  We'll see, good catch.
[527.00s -> 530.02s]  All right, so anyway, that's gonna be the five children
[530.02s -> 532.96s]  starting up and just sleeping for a while, okay?
[532.96s -> 535.58s]  And then we're gonna have the parent,
[535.58s -> 537.70s]  in this case, like the dad, okay?
[537.70s -> 542.70s]  While numb children done playing
[543.58s -> 548.58s]  is less than k-numb children, oops, hang on.
[551.86s -> 554.42s]  Oh no, I knew I'd do something like this.
[554.42s -> 557.02s]  I tried to do a special command
[557.02s -> 558.62s]  and of course it's not working.
[560.14s -> 564.92s]  Nope, ah, oh no, hang on.
[564.92s -> 566.18s]  Match one of 76.
[566.18s -> 571.18s]  How about we, no, oh no, what have I done?
[573.06s -> 574.28s]  Let's try it again.
[577.56s -> 580.10s]  I wonder if any of that got saved.
[580.10s -> 581.46s]  Let's see, we'll find out.
[581.46s -> 582.62s]  I don't think I saved it anyway.
[582.62s -> 587.62s]  Spring, and let's see, it's live, lecture, crossing.
[589.18s -> 591.54s]  Let's see, it did get a swap file.
[591.54s -> 593.38s]  Let's see if we can recover it.
[593.38s -> 598.38s]  Fivechildren.c, and looks like it doesn't wanna play.
[599.38s -> 602.18s]  It looks like it doesn't wanna play.
[602.18s -> 603.46s]  There it goes, okay.
[603.46s -> 604.30s]  What does it say?
[604.30s -> 606.86s]  It says file swap owned by that,
[606.86s -> 608.70s]  another program to edit in the file.
[610.38s -> 614.02s]  I want to recover it, enter.
[615.06s -> 616.70s]  Okay, some of it got saved anyway.
[616.70s -> 617.94s]  It looks like most of it did.
[617.94s -> 619.78s]  Okay, well anyway, all right, let's try this again.
[619.78s -> 621.70s]  I won't try to be fancy on this.
[621.70s -> 625.54s]  So in this, so we got everything in there for the parent
[625.54s -> 628.36s]  or for the child, and then the parent's going to do
[629.20s -> 633.04s]  a while numChildren, what was the name of the variable there?
[633.04s -> 635.68s]  It was numChildren done playing.
[636.92s -> 641.92s]  NumChildren done playing
[641.92s -> 646.92s]  is less than K numChildren.
[650.72s -> 652.84s]  All right, so what are we going to do?
[652.84s -> 657.84s]  We are going to printf at least one child
[658.32s -> 663.32s]  is still playing, so dad nods off.
[666.32s -> 670.08s]  Okay, and then the other day we use,
[670.08s -> 672.76s]  but in fact, earlier in this program, we used sleep.
[672.76s -> 675.04s]  I don't know if you remember that when I said that,
[675.04s -> 677.88s]  hey, it looks like the dad is waking up
[677.88s -> 679.76s]  or is not waking up when it should be,
[679.76s -> 681.68s]  and I thought that was because sleep should,
[681.68s -> 684.80s]  sleep normally stops sleeping at the point
[684.80s -> 686.84s]  where a signal is handled, actually,
[686.88s -> 687.92s]  or I guess it's not handled.
[687.92s -> 691.96s]  But anyway, if a signal happens, sleep will generally return.
[691.96s -> 694.04s]  What we want to do is we want to actually
[694.04s -> 697.92s]  have the dad not wake up.
[697.92s -> 698.78s]  So we're going to say snooze,
[698.78s -> 700.14s]  which is a little function we wrote
[700.14s -> 701.56s]  that just basically does this and says,
[701.56s -> 703.48s]  don't wake up if you get a signal.
[703.48s -> 704.32s]  Okay, so that's what we want to do.
[704.32s -> 706.16s]  We want it to snooze for five seconds
[706.16s -> 711.12s]  and then printf dad wakes up like that,
[711.12s -> 714.08s]  and there we go.
[714.08s -> 716.36s]  And then when you get all the children back,
[716.80s -> 720.12s]  we're just going to say print at all children
[720.12s -> 725.12s]  accounted for good job dad.
[726.64s -> 729.84s]  Something like that, and then we're going to return zero.
[729.84s -> 731.40s]  Okay, so that's our function.
[731.40s -> 735.96s]  Let's run it, okay, make five children, okay.
[735.96s -> 737.68s]  And when we run this, right,
[737.68s -> 740.36s]  what it does is it does all those that forking
[740.36s -> 741.44s]  and then dad nods off,
[741.44s -> 743.82s]  child one returns after three seconds, dad wakes up,
[743.82s -> 746.86s]  child's two, and then goes back to sleep.
[746.86s -> 748.38s]  Child two and three wake up
[748.38s -> 750.70s]  while dad's sleeping in that next five seconds,
[750.70s -> 752.46s]  and then dad goes back to sleep again,
[752.46s -> 755.64s]  and then child four and five also wake up,
[755.64s -> 758.42s]  or return rather, and then that's it.
[758.42s -> 761.04s]  So what did I forget to do?
[763.14s -> 764.08s]  I forgot to write the function
[764.08s -> 766.46s]  that actually does anything, right?
[766.46s -> 768.38s]  So let's see, now this one I want to delete it.
[768.38s -> 769.58s]  There we go, okay.
[769.58s -> 774.58s]  So in this case, let's see,
[775.70s -> 778.06s]  actually, hang on one sec, John.
[778.06s -> 780.54s]  PS, no, it doesn't say it's in there.
[780.54s -> 784.58s]  Anyway, okay, so we have to actually write reap child.
[784.58s -> 786.94s]  Well, this is going to be a really simple
[786.94s -> 788.90s]  reap child in this case, okay?
[788.90s -> 789.90s]  All it's going to do,
[789.90s -> 791.36s]  it's going to clean up after the children.
[791.36s -> 794.50s]  So it's going to do wait PID, all right?
[794.50s -> 798.50s]  And then negative one says wait for any child, okay?
[798.50s -> 800.24s]  No, because we don't care about capturing
[800.24s -> 801.94s]  the return values at this point.
[801.94s -> 803.06s]  You would if you were doing this
[803.06s -> 805.50s]  for a little more robust program.
[805.50s -> 806.94s]  And then zero, which we'll get
[806.94s -> 808.82s]  to changing that today actually,
[808.82s -> 812.82s]  just basically says just block until that child returned,
[812.82s -> 815.02s]  but it's going to have just ended
[815.02s -> 818.10s]  because that's why the signal handler got called, okay?
[818.10s -> 822.10s]  And then at this point we need to update
[822.10s -> 824.34s]  the num, what was it again?
[824.34s -> 829.34s]  Num children done playing, okay?
[829.70s -> 831.18s]  And then that should do that.
[831.18s -> 834.10s]  Now, this signal handler is in the parent
[834.10s -> 837.76s]  and it's getting called when the child ends, okay?
[837.76s -> 839.76s]  That's how this is getting called, question.
[843.58s -> 846.46s]  If you didn't write the wait PID there,
[846.46s -> 847.28s]  that's a good question.
[847.28s -> 849.22s]  All that would really happen is it would be
[849.22s -> 850.90s]  as if you were leaking the memory.
[850.90s -> 852.18s]  I mean, you wouldn't clean up after the child.
[852.18s -> 854.86s]  Nothing else would actually happen in that case.
[854.86s -> 856.34s]  It would still actually work.
[856.34s -> 857.94s]  We can test it if you want, but that's it.
[857.94s -> 858.78s]  Any other questions on that?
[858.78s -> 860.54s]  Let's see if this one works now.
[861.66s -> 864.14s]  I just made it, five children, there we go, okay.
[864.14s -> 866.36s]  So same thing again, waiting for three seconds
