# Detected language: en (p=1.00)

[0.00s -> 2.84s]  All right, so welcome.
[2.84s -> 7.40s]  We have a presentation which you probably heard when you were in 106B or 106X and 107
[7.40s -> 9.20s]  and you're hearing it again.
[9.20s -> 10.20s]  This is Sonya.
[10.20s -> 16.28s]  She is one of the CS198 section leader coordinators and she is going to talk to
[16.28s -> 17.56s]  you about section leading.
[17.56s -> 19.76s]  How many section leaders do we have in here already?
[19.76s -> 21.54s]  A whole bunch of you.
[21.54s -> 26.00s]  So people with your hands up, other people can ask questions of you as well.
[26.00s -> 29.00s]  Feel free to chime in if you have comments about this.
[29.00s -> 36.64s]  Look, when you are in 106A, 106B, or 106X there are these section leaders and they were possibly
[36.64s -> 39.00s]  quite important to your life.
[39.00s -> 43.16s]  It is an awesome opportunity, I'm not going to steal Sonya's thunder, but I think it's
[43.16s -> 49.64s]  a great opportunity to actually give something back to computer science and also improve
[49.64s -> 50.64s]  your own skills.
[50.64s -> 54.68s]  Trust me, when you teach something you learn it much better than you do when you're just
[54.68s -> 56.20s]  like in a class.
[56.20s -> 57.20s]  All right, over to Sonya.
[57.20s -> 58.20s]  Cool.
[58.40s -> 59.40s]  Thanks so much, Chris.
[59.40s -> 60.40s]  Cool.
[60.40s -> 63.60s]  So who here has taken a 106 class here at Stanford?
[63.60s -> 66.64s]  Nice, vast majority, almost everybody.
[66.64s -> 72.36s]  So a lot of you know what section leaders are, but they are undergraduate TAs who lead
[72.36s -> 77.12s]  sections and for this round of applications we're looking for people like you who have
[77.12s -> 81.84s]  completed 106B and X, so we're looking for people from all sorts of different backgrounds.
[81.84s -> 86.24s]  Like if you're a conflict major, great, we want you and I guess if you're a CS major,
[86.28s -> 91.88s]  which I'm sure there are lots of you in 110, we also want you to apply, so do apply.
[91.88s -> 93.08s]  What do section leaders do?
[93.08s -> 98.44s]  You teach a 50-minute section, you help students in the lair and teach them like
[98.44s -> 103.48s]  good debugging strategies, you grade assignments, you hold interactive grading sessions, so
[103.48s -> 107.08s]  you get lots of one-on-one time with your students and you grade things and you
[107.08s -> 110.48s]  get paid $17.50 an hour starting salary.
[110.52s -> 116.32s]  And the next year it'll be $18 an hour starting salary and more, the seniority.
[116.32s -> 121.60s]  And you get to be part of a really cool community who has lots of fun doing things.
[121.60s -> 126.68s]  So timing requirements, you'll need to section lead for two quarters.
[126.68s -> 131.80s]  So if you want to study abroad, that's totally fine, we're cool with you deferring that,
[131.80s -> 134.16s]  just let us know when you're applying.
[134.16s -> 139.76s]  And then in your very first quarter, we want you to take CS 198 for three or four
[140.04s -> 146.12s]  years, come to Monday meetings, which are every Monday for 30 to 6 PM,
[146.12s -> 150.92s]  and attend workshops in the very first four weeks that you're a section leader.
[150.92s -> 152.32s]  Just because we want to get you oriented.
[153.52s -> 155.36s]  So why section lead?
[155.36s -> 159.04s]  Well, teaching is the biggest and
[159.04s -> 163.40s]  most valuable way, as Chris said, to master a subject.
[163.40s -> 167.96s]  And it actually helps you develop a lot of skills that come in use
[167.96s -> 172.76s]  later in life if you want to go into management or if you want to just talk or
[172.76s -> 177.44s]  if you want to be a mentor, teaching is a really great way to hone those skills.
[177.44s -> 180.44s]  You also get an opportunity to work directly with students,
[180.44s -> 185.16s]  more so than in other TAships that are available to you here at Stanford.
[185.16s -> 188.20s]  Because you've got these 15 minute interactive grading sessions with your
[188.20s -> 192.40s]  students after every single assignment, you really get to develop a relationship with
[192.40s -> 199.44s]  them and play an important role in their education and their love of computer science.
[199.44s -> 204.32s]  You get to be participating in fun events and you also get to join an awesome
[204.32s -> 210.04s]  group of people who really care about teaching well and teaching CS.
[210.04s -> 211.72s]  And then leave your mark on campus.
[211.72s -> 216.92s]  You can make a significant difference in a student's life, so keep that in mind.
[216.92s -> 218.64s]  These are some of the fun events that we do.
[218.64s -> 221.64s]  We dress up and help people debug their code.
[221.64s -> 224.92s]  And we also eat breakfast, yay.
[224.92s -> 228.28s]  And then we also have corporate partnerships and
[228.28s -> 232.16s]  we do special events just for section leaders.
[232.16s -> 235.00s]  So yeah, we cooked things at Google and
[235.00s -> 238.28s]  went onto boats in the bay once upon a time.
[238.28s -> 241.48s]  And also you can be like one of these people if you're a section leader.
[241.48s -> 244.20s]  All of these were section leaders here at Stanford.
[244.20s -> 248.08s]  So I encourage you to become the next mayor on Suhami.
[249.08s -> 256.44s]  So the applications are open right now, and they are due this Thursday at 11.59pm.
[256.44s -> 261.84s]  And you can access them at cs198.stanford.edu, cool.
[261.84s -> 262.56s]  Any questions?
[266.56s -> 270.60s]  Awesome, great, we'll apply, hope to see you soon.
[270.60s -> 272.16s]  Actually, can I add one last thing?
[272.16s -> 275.80s]  If you have applied before in the past and didn't get it,
[275.80s -> 279.20s]  I'd say that we really would love for you to apply again.
[279.20s -> 282.92s]  And in our interview process, we care about making you better teachers.
[282.92s -> 285.52s]  So we're happy to provide you feedback.
[285.52s -> 290.36s]  So many section leaders don't get it until they apply two or
[290.36s -> 292.24s]  three or four times.
[292.24s -> 294.28s]  So I encourage you to keep applying and keep asking for
[294.28s -> 298.28s]  feedback if you're interested in it, but it hasn't worked out for you in the past.
[298.28s -> 298.96s]  Cool.
[298.96s -> 300.00s]  All right, thank you, Tony.
[300.00s -> 310.00s]  All right, I think section leading is a great opportunity all around.
[310.00s -> 312.48s]  And like Sonya said, if you've applied before and didn't get it for
[312.48s -> 315.64s]  some reason, don't let that discourage you too much.
[315.64s -> 318.52s]  Because many people try lots of times before they get it.
[318.52s -> 320.88s]  And that's the way it goes.
[320.88s -> 321.40s]  All right, thanks Tony.
[322.80s -> 327.08s]  Okay, so how's assignment, what are we up to now?
[327.08s -> 329.44s]  Three, how's assignment three going?
[329.44s -> 330.76s]  Going all right?
[330.76s -> 331.80s]  It's such a tricky one.
[333.08s -> 335.68s]  I would say it's probably one of the longer ones, believe it or not.
[335.68s -> 337.16s]  There's lots of moving parts to it.
[338.32s -> 341.76s]  And I promised you I would talk about it today.
[341.76s -> 344.60s]  But I didn't prepare anything to talk about today.
[344.60s -> 345.76s]  Here's what I'll do.
[345.76s -> 350.44s]  I totally blanked that I was gonna tell you about this, the assignment.
[350.44s -> 351.92s]  Many of you have already started it.
[351.92s -> 353.16s]  If you haven't, please do it soon.
[354.84s -> 356.68s]  Here's what I'll do.
[356.68s -> 359.04s]  When I get home today, Ali is gonna remind me of this.
[359.04s -> 361.28s]  Cuz she's gonna send me an email anyway, and
[361.28s -> 362.36s]  she's gonna send me an email about that.
[362.36s -> 366.00s]  Remind me in that too, do a little video this afternoon about that.
[366.00s -> 367.92s]  Okay, I'll post it this evening.
[367.92s -> 370.36s]  Okay, but anyway, that'll be about the assignment.
[370.36s -> 372.20s]  Sorry I didn't prepare that now.
[372.20s -> 375.44s]  And where did this go?
[378.16s -> 379.00s]  Firefox closed?
[379.00s -> 379.84s]  It did close.
[379.84s -> 381.44s]  Hm, all right.
[381.44s -> 386.44s]  So we are on to, we're still talking about signals.
[387.20s -> 391.60s]  And signals can be tricky, okay?
[391.60s -> 399.72s]  Processes when they run with signals tend to have lots of race conditions.
[399.72s -> 403.64s]  And we want to avoid those race conditions if we can.
[403.64s -> 406.00s]  We have to talk about some of the places those happen,
[406.00s -> 407.44s]  some of the times those happen.
[407.44s -> 412.36s]  And how to actually remove those race conditions or
[412.36s -> 415.96s]  make it so that the race conditions don't happen because our logic is correct.
[415.96s -> 417.76s]  So that's what we're trying to do.
[417.76s -> 422.80s]  Speaking of not being correct, last Wednesday I misled you a bit,
[422.80s -> 424.36s]  and I apologize about that.
[424.36s -> 427.08s]  One of the CAs was watching the video and he goes,
[427.08s -> 429.08s]  I don't think you were right at the end there when you said this thing.
[429.08s -> 432.56s]  And I went back and thought about it, and I went, I can see why, yes,
[432.56s -> 433.80s]  that was wrong.
[433.80s -> 435.04s]  I can see what you're talking about.
[435.04s -> 435.72s]  Here's what I said.
[435.72s -> 439.28s]  So I don't know if you remember this example from last week.
[439.28s -> 445.24s]  But what we did was we had, my pen is not working again.
[445.24s -> 449.32s]  Hold on one second, I'm gonna try this one more time.
[449.32s -> 455.44s]  This, and this, I swear it was working before.
[458.44s -> 467.96s]  It might be, Pen, let's see, there we go, all right, we'll try that.
[467.96s -> 472.96s]  So the example that we worked on last week was this
[472.96s -> 480.36s]  example where we had a SIG child that we had, okay?
[480.36s -> 484.16s]  That we signaled it, and it's a special function that we call.
[484.16s -> 489.64s]  And this is how signal handlers work.
[489.64s -> 491.68s]  We say signal, and then the type of signal, and
[491.68s -> 494.76s]  then the signal handling function.
[494.76s -> 499.52s]  And what I said for this one, this was the one that printed out the job list.
[499.52s -> 501.56s]  And it said, and we had a problem with it to begin with.
[501.76s -> 506.12s]  First thing we said, wait a minute, sometimes when we add a job to the job
[506.12s -> 511.48s]  list, it will say, job removed from the job list before it even gets to job is
[511.48s -> 515.00s]  added to the job list, because we've got this specifically,
[515.00s -> 516.80s]  because we've got this crazy sleep in there.
[516.80s -> 519.40s]  And we're saying, before you even add it to the job list,
[519.40s -> 522.04s]  do some other stuff, basically sleep.
[522.04s -> 527.64s]  And by the time that wakes up, the parent adds it to the job list
[527.68s -> 532.80s]  after the process has already ended, called the signal handler, and
[532.80s -> 535.76s]  said that it was removed, and we didn't like that.
[535.76s -> 540.96s]  When we have our logic so that a job gets removed from some job list
[540.96s -> 544.80s]  before it gets added, that's not really a good thing, okay?
[544.80s -> 546.60s]  That just logically doesn't make sense, number one.
[546.60s -> 547.84s]  It didn't break our program,
[547.84s -> 550.16s]  because our program wasn't really breakable in that sense.
[550.16s -> 553.16s]  But it doesn't look right, and if we had added more to it,
[553.16s -> 555.00s]  to actually add and remove jobs,
[555.04s -> 557.84s]  it doesn't make any sense to remove it before it's added.
[557.84s -> 563.48s]  So what we did was we said, all right, there's this sig proc mask
[563.48s -> 567.64s]  system call, which will allow us to block a signal.
[567.64s -> 572.56s]  And in this case, we're going to block the set of signals,
[572.56s -> 576.68s]  which includes just the child process, which means that
