# Detected language: en (p=1.00)

[0.00s -> 1.58s]  Welcome
[1.58s -> 3.34s]  All right
[3.34s -> 5.78s]  Welcome to the 19 of you that are here
[6.34s -> 9.66s]  No, it's more than that for people watching this on video. There's more fuel than that here
[10.26s -> 11.42s]  so
[11.42s -> 13.10s]  assignment three
[13.10s -> 16.78s]  Hopefully ended up. Okay, there were lots of Piazza questions and lots of
[17.58s -> 22.66s]  consternation about race conditions and this and that and that's the kind of thing you have to deal with when you're doing
[23.18s -> 26.74s]  multi processing also multi threading which we're going to talk about today and
[27.08s -> 28.40s]  And
[28.40s -> 32.32s]  You will do more multi processing for this week's assignment
[32.32s -> 37.34s]  And then of course you'll practice it a little bit on the midterm as well. So big week this week
[37.34s -> 44.08s]  I think I'm already behind but we will keep going forward here today
[46.28s -> 49.48s]  The midterm is Thursday the
[50.00s -> 54.16s]  It's 6 to 8 p.m. Hewlett 200, which is across the hall. It's not this one
[54.16s -> 59.18s]  Don't sit in here and think where's everybody it's across the hall. If you are taking an alternate exam
[59.18s -> 61.48s]  Hopefully you already emailed me if you haven't please do that
[62.10s -> 66.50s]  Today so I can set things up and same thing for any accommodations that you have
[66.98s -> 73.06s]  Do that I plan on sending out emails about that this evening for people who talk to me about those things already
[73.72s -> 79.98s]  The exam is going to be on blue book who has used blue book before raise your hands about
[80.40s -> 82.40s]  Half of you maybe
[82.60s -> 88.52s]  to the other half what it is is you have your laptop and you load a program on it that tape that you take the
[88.52s -> 93.84s]  test on and it submits it to us and we grade it all kind of digitally the
[94.56s -> 98.32s]  Nice thing about blue book is that you get to type your answers some people think that's nice anyway
[98.76s -> 105.24s]  But it feels very much like taking a paper exam in that we don't really we can't compile code
[105.24s -> 109.88s]  You can't look things up. You can't copy and paste within the application and so forth
[110.42s -> 114.90s]  But you should get get it working on your computer before coming to the midterm
[114.98s -> 120.70s]  What happens is we will publish an encrypted exam sometime on either Wednesday night or Thursday
[121.86s -> 125.90s]  Morning that is that you can download and then when you get to the exam
[125.90s -> 132.74s]  We give you a password and then it starts the exam for you and it is timed on the computer and so forth
[132.94s -> 138.54s]  If for some reason you don't have a laptop or your laptop battery is going to die after five minutes or something
[139.08s -> 144.08s]  You should talk to me sooner than later so we can find you another laptop to to use or
[145.44s -> 150.24s]  Like for your battery issues, we will have some plugs but they're not going to be like for everybody. So
[151.08s -> 153.56s]  Most most people's laptops these days will last two hours
[153.56s -> 156.08s]  Although I know some people are hurt
[156.08s -> 159.30s]  There's only last like an hour and a half and you have to have to get near a power plug
[159.30s -> 164.32s]  We will have that available for some extent you are allowed one back in front piece of paper
[166.04s -> 168.04s]  For your own notes or whatever
[168.56s -> 174.72s]  Please don't bring any magnifying devices regular glasses are fine. Like I don't see people like, you know, like microscope here
[175.60s -> 180.24s]  The I think I told this to people in 106 B when I was doing a similar sort of thing
[180.24s -> 182.56s]  I once heard and I mentioned somebody else recently
[182.56s -> 188.40s]  I once heard of a professor saying you can use anything you can bring in to the exam
[188.80s -> 193.68s]  For notes or to use for the exam and somebody came in carrying a graduate student
[193.68s -> 195.68s]  Oh
[196.70s -> 201.80s]  No, you're that one piece of paper back in front we will also did that did the joke just finally sicken
[202.58s -> 205.66s]  We will we'll also give you a somewhat limited
[206.18s -> 211.06s]  resource resources sheet it looks kind of like this where basically gives you all of the
[212.86s -> 218.10s]  Prototypes and things for functions that you'll need and then some some specific constants and things that you'll need
[218.54s -> 221.30s]  We are not trying to make you memorize those sorts of things
[221.32s -> 224.48s]  So if in the middle of the exam you like I forget how to do that it's probably not going to matter
[224.48s -> 228.52s]  We're not going to try to compile your code necessarily, but but either way
[228.52s -> 233.68s]  It's not that that we're not testing you on that do the best you can with those sorts of things
[234.80s -> 241.60s]  Let's see. I think that's about it. All the comments I have about the midterm any questions at this point about the midterm
[242.68s -> 243.84s]  comments
[243.84s -> 245.20s]  It's to our exam
[245.20s -> 249.44s]  I'm gonna try to make it so that you finish it that most people finish within an hour and a half or so
[249.44s -> 256.18s]  I mean, I don't want this to be a test of your ability to like race through hard problems because they are sometimes difficult
[267.18s -> 270.34s]  Good question, what's the format going to be? Is it going to be like the practice ones?
[270.34s -> 275.58s]  I would say it's going to be kind of most like the last practice one, which is a couple of programming problems
[276.16s -> 278.28s]  I'll try to walk you through the details of that pretty
[278.28s -> 282.98s]  I'm not I don't want a wall of text if I can help it and then maybe a problem like the
[283.12s -> 285.28s]  Try to figure out what's going on with these signals
