# Detected language: en (p=1.00)

[0.00s -> 2.48s]  Welcome to Wednesday.
[2.48s -> 4.48s]  Hope the assignment's going well.
[4.48s -> 7.12s]  I will go back to my office right after class today.
[7.12s -> 9.12s]  I guess you get the benefit of coming to class
[9.12s -> 9.84s]  and overhearing this.
[9.84s -> 10.72s]  I'll go back to my office today
[10.72s -> 12.52s]  and then stay there for about 45 minutes
[12.52s -> 16.00s]  to an hour for anybody who has questions on homework.
[16.00s -> 18.20s]  I also have office hours tomorrow morning
[18.20s -> 21.24s]  from 10 until noon.
[21.24s -> 24.00s]  So feel free to stop by Gates 201
[24.00s -> 28.24s]  if you want to go to my office hours.
[28.24s -> 30.40s]  And then, of course, there's regular office hours
[30.40s -> 34.16s]  with the TAs this evening and tomorrow as well.
[34.16s -> 36.92s]  The assignment is due tomorrow.
[36.92s -> 38.36s]  Hopefully it's going all right.
[38.36s -> 40.34s]  Remember, this is a real file system
[40.34s -> 42.56s]  you guys are actually looking at.
[42.56s -> 45.00s]  So all the little nuanced parts to it,
[45.00s -> 46.20s]  well, that's real life.
[46.20s -> 48.20s]  That happens in real programs.
[48.20s -> 52.10s]  So you're getting a little bit of a taste of that.
[52.10s -> 54.26s]  Let's see, I put a joke up here.
[55.20s -> 57.80s]  The barman asks what the first one wants
[58.32s -> 60.20s]  to race conditions to walk into a bar.
[60.20s -> 62.74s]  So I know it's hilarious, isn't it?
[64.92s -> 69.64s]  So the joke is, you always have to explain your jokes
[69.64s -> 72.06s]  if they're not that hilarious, right?
[72.06s -> 73.80s]  So the joke is that this is a race condition.
[73.80s -> 75.24s]  We haven't really talked too much
[75.24s -> 77.72s]  about race conditions yet,
[77.72s -> 80.28s]  but we will start to see many, many race conditions.
[80.28s -> 82.06s]  We've seen a few here and there.
[82.06s -> 84.08s]  A race condition is simply
[84.08s -> 87.28s]  when two things are happening simultaneously
[87.64s -> 89.48s]  and you don't know and you can't predict
[89.48s -> 92.12s]  which one will actually get to where
[92.12s -> 93.64s]  it's trying to go first.
[93.64s -> 97.46s]  That becomes an issue if you're doing things
[97.46s -> 99.72s]  like trying to wait for something to happen
[99.72s -> 101.16s]  or rather not wait for something,
[101.16s -> 103.24s]  if you forget to wait for something to happen
[103.24s -> 106.56s]  and it may be out of order from what you expected.
[106.56s -> 108.12s]  So you have to think about that.
[108.12s -> 112.26s]  It makes programming concurrently tricky
[112.26s -> 113.72s]  because you have to think about that.
[113.72s -> 115.40s]  So today we're gonna do a few examples
[115.40s -> 117.32s]  where we're gonna see race conditions
[117.32s -> 119.84s]  and we're gonna see how one way of handling them.
[120.76s -> 125.76s]  Okay, so this is what I introduced on Monday.
[125.76s -> 128.16s]  We're talking about signals now, okay?
[128.16s -> 133.16s]  And signals are a way to send a message,
[133.40s -> 134.24s]  or not even a message,
[134.24s -> 137.68s]  basically a way to say to another process,
[137.68s -> 139.10s]  something has happened.
[139.10s -> 142.18s]  You don't even get to say like any message itself.
[142.18s -> 144.16s]  The best you can do is you can actually pass
[144.16s -> 145.72s]  a signal number,
[145.72s -> 148.42s]  which is the actual signal that gets sent,
[148.42s -> 149.84s]  but you don't get any other information.
[149.84s -> 152.14s]  If you want to pass other information
[152.14s -> 152.98s]  to the other signal,
[152.98s -> 154.44s]  you have to do it in such a way
[154.44s -> 157.88s]  that both processes have access to it,
[157.88s -> 160.00s]  which generally would mean shared memory
[160.00s -> 163.36s]  or a file or something like that.
[163.36s -> 165.74s]  And that becomes a little bit trickier to do too.
[165.74s -> 168.52s]  So it's not like you have this situation
[168.52s -> 170.12s]  where you're just signaling another process
[170.12s -> 172.30s]  and then being able to tell it lots of stuff.
[172.30s -> 174.34s]  It's gotta be a logic sort of thing.
[174.34s -> 176.26s]  Like when this signal happens,
[176.26s -> 179.14s]  you're going to do this because the signal happened.
[179.14s -> 180.94s]  That's what we're gonna do.
[180.94s -> 185.06s]  We're gonna see examples as we go through this, okay?
[185.06s -> 190.06s]  A signal handler is a function that you write
[191.06s -> 192.86s]  that goes into a process.
[192.86s -> 195.06s]  And when that signal arrives at the process,
[195.06s -> 197.58s]  the signal handler gets called, okay?
[197.58s -> 199.86s]  And the ones that we're gonna focus on
[199.86s -> 203.66s]  are when a child has some change of state,
[203.66s -> 206.94s]  when it ends, when it stops, when it's continued.
[206.94s -> 207.76s]  And we haven't even talked about
[207.76s -> 209.54s]  how you continue a child that's stopped,
[209.54s -> 210.68s]  but we'll get there.
[210.68s -> 212.96s]  And that's a function that you write
[212.96s -> 216.82s]  and it gets called when that happens, okay?
[216.82s -> 220.86s]  All right, there are lots of different types of signals.
[220.86s -> 223.18s]  As we said, there's signals that happen
[223.18s -> 225.26s]  because something bad goes wrong,
[225.26s -> 227.30s]  like you tried to divide by zero,
[227.30s -> 229.02s]  that sends a signal.
[229.06s -> 231.02s]  Or if you try to, if you do control C,
[231.02s -> 232.44s]  well, your program gets a signal
[232.44s -> 234.42s]  that it actually can't block.
[234.42s -> 237.30s]  It actually is going to kill your program, generally.
[237.30s -> 239.38s]  There's some limited ways around that,
[239.38s -> 241.58s]  but that's generally what's gonna happen.
[241.58s -> 243.98s]  And there are other types of signals
[243.98s -> 246.74s]  that you can send that are user signals.
[246.74s -> 247.78s]  There's a couple of separate ones
[247.78s -> 249.50s]  that are specifically for you
[249.50s -> 251.14s]  to use for whatever purpose you want.
[251.14s -> 254.10s]  That's another type of signal, okay?
[255.18s -> 256.28s]  All right, so as I said,
[256.32s -> 258.96s]  SIGCHLD is the one we're gonna care the most about,
[258.96s -> 260.52s]  at least for this class.
[260.52s -> 264.48s]  And it happens whenever a child process
[264.48s -> 267.32s]  of a particular parent changes state.
[267.32s -> 269.04s]  And so we're going to be able to capture that.
[269.04s -> 271.52s]  That is generally when we're going to want
[271.52s -> 275.44s]  to do our wait PID for the child
[275.44s -> 277.46s]  to actually find out what happened to the child.
[277.46s -> 278.56s]  What did it just do?
[278.56s -> 279.40s]  Did it end?
[279.40s -> 281.42s]  Did it die abnormally?
[281.42s -> 282.36s]  What happened to it?
[282.36s -> 284.52s]  So we're gonna generally see wait PIDs
[284.52s -> 288.96s]  inside of the SIGCHLD handler, okay?
[288.96s -> 291.94s]  The first one that we talked about
[291.94s -> 294.68s]  is this program that I'm gonna just retype
[294.68s -> 296.28s]  so that you kind of get the feeling
[296.28s -> 298.92s]  or you actually kind of see what it is
[298.92s -> 302.36s]  kind of in more, a little bit slower
[302.36s -> 303.80s]  so that you can kind of process what's going on.
[303.80s -> 305.92s]  I know a lot of times I've run through code really fast
[305.92s -> 307.46s]  and you go, ah, I've never seen that before.
[307.46s -> 308.40s]  How can I even process it?
[308.40s -> 310.44s]  So I'll try to like slow down a little bit
[310.44s -> 312.00s]  in that sense more often
[312.00s -> 313.50s]  and actually type things out,
[313.50s -> 314.94s]  explain as I'm typing,
[314.94s -> 319.46s]  give you a second to process it, and so forth, okay?
[320.74s -> 322.30s]  So let's start out.
[322.30s -> 324.02s]  We will write a main function.
[324.02s -> 326.32s]  This is the example that you talked about on Monday
[326.32s -> 330.22s]  where you have this model of a dad
[330.22s -> 333.86s]  taking his five children to Disneyland
[333.86s -> 335.94s]  and he lets them all go off and play.
[335.94s -> 337.70s]  They each play for a certain amount of time
[337.70s -> 338.76s]  and then they come back.
[338.76s -> 341.42s]  In the meantime, dad sleeps, okay?
[341.46s -> 343.50s]  And I actually said something on Monday
[343.50s -> 346.02s]  that I was very confused about and I figured out why.
[346.02s -> 348.00s]  It was because I hadn't typed the program in.
[348.00s -> 351.70s]  When I get there, I'll show you what I'm talking about.
[351.70s -> 353.46s]  But in this case, what we're gonna do
[353.46s -> 354.58s]  is we're gonna start out.
[354.58s -> 358.24s]  So let me put it a little higher on the screen here.
[358.24s -> 359.08s]  There we go.
[359.08s -> 361.90s]  What we're gonna do is we're going to start out here
[361.90s -> 363.74s]  and we're just gonna say printf,
[363.74s -> 368.74s]  let my five children play while I take a nap.
[371.82s -> 373.22s]  Look, if I was a dad going to Disneyland,
[373.22s -> 374.18s]  I'd be on all the rides too,
[374.18s -> 375.58s]  so I don't know what he's doing with taking the nap.
[375.58s -> 379.54s]  But anyway, that's what this dad is doing, okay?
[379.54s -> 382.84s]  And then we're gonna set up the signal handler
[382.84s -> 387.84s]  by saying signal, sig, C-H-L-D.
[387.84s -> 390.02s]  By the way, the reason they left out all those,
[390.02s -> 392.90s]  like they left out letters and things
[392.90s -> 394.94s]  is because it used to be that you had to have
[394.94s -> 399.10s]  a certain file length or a certain name length limitation.
[399.10s -> 401.62s]  And so a lot of these names are really short
[401.62s -> 403.26s]  and kinda leaving out letters
[403.26s -> 406.58s]  just because that's historical in this case.
[406.58s -> 409.14s]  So we are gonna tell it what function
[409.14s -> 412.50s]  we need to set as the signal handler.
[412.50s -> 415.46s]  In this case, it's gonna be reap child, okay?
[415.46s -> 417.10s]  And then we're going to start up
[417.10s -> 418.94s]  all these children processes, okay?
[418.94s -> 423.34s]  So we're just gonna go for size T, I equals zero,
[423.34s -> 425.56s]  I, or actually we'll start with one.
[425.56s -> 427.48s]  So we just get one, two, three, four, five.
[427.52s -> 431.84s]  I is less than or equal to five, I plus plus.
[431.84s -> 433.96s]  And then we're just gonna fork.
[433.96s -> 434.96s]  So we're gonna have this kind of,
[434.96s -> 437.74s]  we're not gonna actually capture the PID from the child.
[437.74s -> 438.84s]  But in this case, we're just gonna say,
[438.84s -> 442.52s]  if fork equals zero, that means we are the child
[442.52s -> 444.00s]  if we're in this block.
[444.00s -> 449.00s]  We're going to sleep for three times the,
[449.56s -> 451.48s]  I guess I said kid before, didn't I?
[452.32s -> 454.02s]  Do it kid like this.
[455.02s -> 459.86s]  Okay, there we go.
[459.86s -> 462.94s]  Sleep for three times, whatever the kid index is,
[462.94s -> 466.30s]  index starting at one, right?
[466.30s -> 469.50s]  Sleep in this case is gonna emulate playing,
[470.70s -> 473.10s]  playing or whatever, playing at Disneyland, okay?
[473.10s -> 476.34s]  And then after the child wakes up from the sleep
[476.34s -> 479.86s]  or finishes playing, we're just gonna say print F.
[479.86s -> 483.38s]  We're gonna say child and then because we use size T,
[483.42s -> 485.90s]  we have to use like ZU or something like that,
[485.90s -> 490.90s]  is tired, returns to dad, not data, to dad.
[492.02s -> 493.10s]  There we go.
[493.10s -> 495.58s]  I guess it makes sense in computer science.
[495.58s -> 497.42s]  Okay, so there we go.
[497.42s -> 500.30s]  And I might need a quote on there.
[500.30s -> 504.62s]  All right, and then we're going to just return zero
[504.62s -> 506.66s]  from the child, okay?
[506.66s -> 508.14s]  So that's what's gonna happen in the child.
[508.14s -> 509.90s]  We're gonna do that five times.
[509.90s -> 511.58s]  Boom, and they're gonna sleep for three seconds,
[511.58s -> 512.92s]  six seconds, nine seconds, et cetera.
[513.56s -> 514.40s]  Yeah.
[514.40s -> 516.48s]  Do you have to do the after variable there at the end
[516.48s -> 517.68s]  with the print F or?
[517.68s -> 519.88s]  Probably, thank you very much.
[519.88s -> 521.72s]  How about kid?
[521.72s -> 522.54s]  Thank you very much.
[522.54s -> 523.96s]  That would be a bad mistake.
[523.96s -> 525.80s]  Probably would have gotten a warning, I hope.
[525.80s -> 527.00s]  We'll see, good catch.
[527.00s -> 530.00s]  All right, so anyway, that's gonna be the five children
[530.00s -> 532.96s]  starting up and just sleeping for a while, okay?
[532.96s -> 535.56s]  And then we're gonna have the parent,
[535.56s -> 537.68s]  in this case, like the dad, okay?
[537.68s -> 542.68s]  While numb children done playing,
[543.60s -> 548.48s]  is less than K numb children.
[548.48s -> 551.88s]  Oops, hang on.
[551.88s -> 554.48s]  Oh no, I knew I'd do something like this.
[554.48s -> 557.06s]  I tried to do a special command
[557.06s -> 558.66s]  and of course it's not working.
[560.16s -> 562.76s]  Nope, ah, oh no.
[564.08s -> 566.20s]  Hang on, match one of 76.
[566.20s -> 568.12s]  How about we, no.
[569.16s -> 571.38s]  One, oh, oh no, what have I done?
[573.08s -> 574.28s]  Let's try it again.
[577.56s -> 580.12s]  I wonder if any of that got saved.
[580.12s -> 581.48s]  Let's see, we'll find out.
[581.48s -> 582.60s]  I don't think I saved it anyway.
[582.60s -> 587.60s]  Spring, and let's see, it's live, lecture, crossing.
[589.20s -> 591.52s]  Let's see, it did get a swap file.
[591.52s -> 593.12s]  Let's see if we can recover it.
[593.12s -> 596.72s]  Five children dot C, and
[600.12s -> 602.20s]  looks like it doesn't wanna play.
[602.60s -> 603.50s]  There it goes, okay.
[603.50s -> 604.34s]  What does it say?
[604.34s -> 606.92s]  It says file swap owned by that,
[606.92s -> 608.76s]  another program to edit in the file.
[610.44s -> 614.06s]  I want to recover it, enter.
[615.10s -> 616.72s]  Okay, some of it got saved anyway.
[616.72s -> 617.98s]  It looks like most of it did.
[617.98s -> 619.82s]  Okay, well anyway, all right, let's try this again.
[619.82s -> 621.72s]  I won't try to be fancy on this.
[621.72s -> 623.76s]  So in this, so we got the,
[623.76s -> 627.00s]  everything in there for the parent, or for the child.
[627.00s -> 629.54s]  And then the parent's going to do while numb,
[630.54s -> 633.06s]  children, what was the name of the variable there?
[633.06s -> 636.42s]  It was numb children done playing.
[636.42s -> 641.42s]  Numb children done playing
[641.92s -> 646.92s]  is less than K numb children.
[650.72s -> 652.82s]  All right, so what are we going to do?
[652.82s -> 657.82s]  We are going to print F at least one child
[658.30s -> 663.30s]  is still laying, so dad nods off.
[666.32s -> 670.06s]  Okay, and then the other day we use,
[670.06s -> 672.74s]  but in fact, earlier in this program, we used sleep.
[672.74s -> 675.04s]  I don't know if you remember that when I said that,
[675.04s -> 677.86s]  hey, it looks like the dad is waking up
[677.86s -> 679.74s]  or is not waking up when it should be.
[679.74s -> 681.66s]  And I thought that was because sleep should,
[681.66s -> 684.78s]  sleep normally stops sleeping at the point
[684.78s -> 686.84s]  where a signal is handled, actually,
[687.00s -> 687.96s]  or I guess it's not handled.
[687.96s -> 690.00s]  But anyway, it does, if a signal happens,
[690.00s -> 692.00s]  sleep will generally return.
[692.00s -> 694.08s]  What we want to do is we want to actually
[694.08s -> 697.96s]  have the dad not wake up.
[697.96s -> 698.82s]  So we're going to say snooze,
[698.82s -> 700.18s]  which is a little function we wrote
[700.18s -> 701.60s]  that just basically does this and says,
[701.60s -> 703.52s]  don't wake up if you get a signal.
[703.52s -> 704.36s]  Okay, so that's what we want to do.
[704.36s -> 706.20s]  We want it to snooze for five seconds
[706.20s -> 711.16s]  and then print F dad wakes up like that.
[711.16s -> 714.12s]  And there we go.
[714.12s -> 716.40s]  And then when you get all the children back,
[716.92s -> 720.12s]  we're just going to say print F all children
[720.12s -> 725.12s]  accounted for good job dad.
[726.64s -> 728.18s]  Pumping like that.
[728.18s -> 729.84s]  And then we're going to return zero.
[729.84s -> 731.40s]  Okay, so that's our function.
[731.40s -> 732.60s]  Let's run it.
[732.60s -> 735.26s]  Okay, make five children.
[735.26s -> 737.68s]  Okay, and when we run this, right,
[737.68s -> 740.36s]  what it does is it does all those that forking
[740.36s -> 742.24s]  and then dad nods off, child one returns
[742.24s -> 743.80s]  after three seconds, dad wakes up,
[743.80s -> 746.88s]  child's two, and then goes back to sleep.
[746.88s -> 749.28s]  Child two and three wake up while dad's sleeping
[749.28s -> 750.72s]  in that next five seconds.
[750.72s -> 752.44s]  And then dad goes back to sleep again.
[752.44s -> 755.64s]  And then child four and five also wake up,
[755.64s -> 757.08s]  a return rather.
[757.08s -> 758.44s]  And then that's it.
[758.44s -> 761.04s]  So what did I forget to do?
[763.12s -> 764.08s]  Forgot to write the function
[764.08s -> 766.44s]  that actually does anything, right?
[766.44s -> 768.40s]  So let's see, now this one I want to delete it.
[768.40s -> 769.60s]  There we go, okay.
[769.60s -> 774.60s]  So, in this case, let's see.
[775.68s -> 778.04s]  Actually, hang on one sec, John.
[778.04s -> 780.52s]  PS, no, it doesn't say it's in there.
[780.52s -> 784.56s]  Anyway, okay, so we have to actually write reap child.
[784.56s -> 786.96s]  Well, this is going to be a really simple
[786.96s -> 788.64s]  reap child in this case.
[788.64s -> 789.92s]  Okay, all it's going to do,
[789.92s -> 791.36s]  it's going to clean up after the children.
[791.36s -> 794.48s]  So it's going to do wait PID, all right?
[794.48s -> 798.24s]  And then negative one says wait for any child.
[798.48s -> 800.24s]  No, because we don't care about capturing
[800.24s -> 802.00s]  the return values at this point.
[802.00s -> 803.08s]  You would if you were doing this
[803.08s -> 805.52s]  for a little more robust program.
[805.52s -> 807.80s]  And then zero, which we'll get to changing
[807.80s -> 809.68s]  that today actually, just basically says
[809.68s -> 812.84s]  just block until that child returned.
[812.84s -> 815.04s]  But it's going to have just ended
[815.04s -> 817.64s]  because that's why the signal handler got called.
[817.64s -> 819.48s]  Okay, and then at this point,
[819.48s -> 824.36s]  we need to update the num, what was it again?
[824.40s -> 828.60s]  Num children done playing.
[829.44s -> 831.20s]  Okay, and then that should do that.
[831.20s -> 834.12s]  Now, this signal handler is in the parent
[834.12s -> 837.60s]  and it's getting called when the child ends.
[837.60s -> 838.68s]  Okay, that's how this is getting called.
[838.68s -> 839.52s]  Question.
[843.60s -> 846.48s]  If you didn't write the wait PID there,
[846.48s -> 847.30s]  that's a good question.
[847.30s -> 849.24s]  All that would really happen is it would be
[849.24s -> 850.92s]  as if you were leaking the memory.
