# Detected language: en (p=1.00)

[0.00s -> 5.62s]  Now that we've learned about CSMA-CD, I'm going to tell you about Ethernet. Ethernet
[5.62s -> 11.36s]  started in the early 1970s, originally it ran at 10 Mbps, but has evolved a long way
[11.36s -> 18.44s]  since then. In the first place, CSMA-CD was right at the heart of how Ethernet worked,
[18.44s -> 22.86s]  and determined how many hosts would share a single cable. We'll see later that it
[22.86s -> 26.02s]  became less important as the speed went up.
[26.04s -> 31.54s]  The original Ethernet looked like this. These are two pictures that were drawn by Bob Metcalf,
[31.54s -> 36.86s]  one of the co-inventors of Ethernet back in the early 70s. He was working at Xerox PARC
[36.86s -> 40.10s]  at the time. He later went on to found 3Com.
[40.10s -> 43.58s]  So on the left is showing the original topology that they had in mind of both wired
[43.58s -> 48.26s]  and wireless Ethernet. And on the right shows the specifics of how the first Ethernet
[48.26s -> 52.38s]  network was built. There was this big thick yellow cable. It was always yellow. It was
[52.38s -> 56.42s]  very very thick and inflexible and snaked around in the ceiling or in the walls or
[56.42s -> 61.26s]  under the floor. And then these big taps would be screwed down into the cable to make
[61.26s -> 65.94s]  an electrical contact for an interface and then a computer. It became much simpler
[65.94s -> 69.46s]  over time, ending up with what we use today.
[69.46s -> 73.00s]  This is the Ethernet frame format. This is the format of the frames that are put
[73.00s -> 79.78s]  onto the link. The first bit is shown on the left hand side, and it starts with
[79.78s -> 85.30s]  a preamble. The preamble is a sequence of ones and zeros just there to train the clock
[85.30s -> 89.38s]  recovery circuits to help them get started and to have recovered the clock before the
[89.38s -> 93.74s]  data actually starts to arrive. There's a starter frame delimiter, which is a special
[93.74s -> 99.50s]  symbol which tells us that the packet is just about to start. And we then go into
[99.50s -> 104.22s]  the destination address, which we already know to be a 48-bit address. This is a globally
[104.22s -> 110.74s]  unique address, assigned by the manufacturer of the interface. One bit tells us whether
[110.74s -> 115.70s]  it's unicast or multicast, and one bit can be used in fact to make it a locally
[115.70s -> 121.46s]  defined address, although that's actually very unusual. So there's 46 bits that
[121.46s -> 126.98s]  are there to define the globally unique address. So there's a very very large number
[126.98s -> 132.42s]  of Ethernet addresses to use. The source address is just the address of the local host
[132.62s -> 137.54s]  that's sending the frame in the usual sense. The type indicates what we'll find inside
[137.54s -> 145.54s]  the data. For example, the ether type of 0800 is telling us that there's IP inside
[145.54s -> 149.86s]  here, which of course is a very common case. You'll recall that there is a minimum
[149.86s -> 157.42s]  size for any CSMA CD-based network, a minimum packet size. So we pad the packet if the
[157.42s -> 163.78s]  data is very short. We pad it to make sure that there are a sufficient number of bytes
[163.78s -> 168.34s]  so that we can detect collisions reliably before we've finished sending the packet.
[168.34s -> 172.70s]  So they're padded out to a minimum of 46 data bytes. So if the amount of data
[172.70s -> 178.26s]  is over 46, then of course it won't pad it, but otherwise it will pad it just to
[178.26s -> 182.34s]  make sure that there's enough. And finally there's what's called a cyclic redundancy
