# Detected language: en (p=1.00)

[0.00s -> 7.00s]  In this video we'll look at some common attacks that can be performed on layer 3 or IP networks.
[7.00s -> 10.00s]  We will look at three common types of layer 3 attack.
[10.00s -> 17.00s]  It might surprise you to see how simple these attacks are, and you might be left wondering why we don't see even more attacks than we do.
[17.00s -> 22.00s]  The first type of attack uses ICMP, the Internet Control Message Protocol.
[22.00s -> 28.00s]  Recall that ICMP is used to convey information from the network back to the source, telling it how the network is doing.
[28.00s -> 35.00s]  For example, a router can send a TTL expired message back to the source to tell it that a TTL was decremented to zero.
[35.00s -> 44.00s]  Or a router might use ICMP to tell the source host that a destination was unreachable, which means the router has no entry for the destination in its forwarding table.
[44.00s -> 50.00s]  Another type of ICMP message tells the source to send its messages via another router.
[50.00s -> 53.00s]  I'll explain how it works in the next slide.
[53.00s -> 57.00s]  There are lots of types of attack that use BGP, and we'll look at a couple of them here.
[57.00s -> 63.00s]  The first is called BGP hijacking, and sometimes it's just called IP hijacking.
[63.00s -> 74.00s]  BGP attacks take advantage of the fact that neighbouring ISPs trust one another to provide accurate information about the AS path to follow in order to reach a destination prefix.
[74.00s -> 82.00s]  When two BGP peers start up, they create a TCP session over which they pass route advertisements and withdrawals.
[82.00s -> 88.00s]  Once the session is initiated, they trust each other to provide the true information about paths.
[88.00s -> 99.00s]  If an ISP is badly behaved, or if someone manages to break into the TCP session and masquerade as a legitimate ISP, then it is quite easy to redirect traffic.
[99.00s -> 106.00s]  For example, an ISP can advertise a prefix belonging to someone else, capturing their traffic.
[106.00s -> 118.00s]  Or an ISP can advertise an invalid AS path, sending the IP traffic to a non-existent destination where it is dropped, creating what is called a black hole for the traffic.
[118.00s -> 129.00s]  And because BGP routers only peer with neighbouring BGP routers, the most likely way for a BGP attack to happen is when an ISP is badly behaved.
[129.00s -> 138.00s]  It's quite hard for an attacker to persuade a BGP router to start a session with it. The routers are hard-coded to only talk to particular peers.
[138.00s -> 145.00s]  However, on occasion, an attacker will manage to take over an ongoing TCP session without either party knowing.
