# Detected language: en (p=1.00)

[0.00s -> 5.00s]  In this final video, as part of the ATT&CK series, we're going to talk about denial of service.
[5.00s -> 11.00s]  In February of 2000, Yahoo's router one day just started crashing.
[11.00s -> 16.00s]  And the engineers had had problems with the router previously, but this time it was worse.
[16.00s -> 21.00s]  They couldn't figure out what was going wrong, why every time they brought up the router it kept crashing.
[21.00s -> 29.00s]  And it took them many hours to figure out that they were being flooded with ICMP echo reply packets
[29.00s -> 33.00s]  at such a high rate that it was causing their router to crash.
[33.00s -> 40.00s]  And in the weeks and months that followed, there were many of these so-called distributed denial of service,
[40.00s -> 44.00s]  or DDoS attacks, against a bunch of high-profile sites.
[44.00s -> 52.00s]  So, basically, what a denial of service attack is, is something that prevents a service from being available.
[52.00s -> 59.00s]  And the easiest denial of service attack you can do is to overload either a server or network with too many packets
[59.00s -> 63.00s]  so that it can no longer function properly and serve legitimate clients.
[63.00s -> 70.00s]  And, of course, you want to, as an attacker, you want to maximize the cost of each packet to the server
[70.00s -> 75.00s]  in terms of network resources, CPU, and memory.
[75.00s -> 79.00s]  The reason distributed denial of service, or DDoS, is so effective
[79.00s -> 85.00s]  is that the attack comes from all over the place, so it's hard to just filter out one bad person.
[85.00s -> 92.00s]  Also, because it's coming from a number of hosts, each of those hosts has some number of resources,
[92.00s -> 98.00s]  so you've got a lot of traffic coming in if it's a widely distributed DDoS attack.
[98.00s -> 104.00s]  How do attackers do this? Well, they can penetrate many machines in a semi-automatic fashion with malware,
[104.00s -> 108.00s]  and then they turn the host into zombies that will basically attack on command,
[108.00s -> 113.00s]  and then at some point they later decide, hey, I want to attack this victim like yahoo.com,
[113.00s -> 119.00s]  you know, push a button, and boom, all these compromised machines will start flooding Yahoo with packets.
[119.00s -> 126.00s]  Now, in general, DDoS attacks are attacks that just target availability,
[126.00s -> 130.00s]  and you might wonder, well, why is that useful, right?
[130.00s -> 134.00s]  It's not like you're breaking into a bank and convincing it to send you money or something.
[134.00s -> 139.00s]  But it turns out that a lot of people perform these DDoS attacks for a number of reasons.
[139.00s -> 144.00s]  One is extortion, right? Attackers will go to some company,
[144.00s -> 149.00s]  maybe the company's doing something a little bit fringe, like an offshore gambling site or something,
[149.00s -> 153.00s]  and they'll say, hey, pay us a small amount of money or we're going to take down your site.
[153.00s -> 159.00s]  And at that point, the people who were in the site might think, well, we don't really want to go to the FBI with this.
[159.00s -> 160.00s]  Maybe we should just pay the money.
[160.00s -> 166.00s]  But of course, if they do that, probably then, you know, a month later, the price will double
[166.00s -> 169.00s]  because they've now proven that they're willing to give in to the extortion.
[169.00s -> 172.00s]  But nonetheless, people try to do this.
[172.00s -> 175.00s]  Another thing is that people use it for revenge.
[175.00s -> 183.00s]  So, for example, spammers mounted a denial of service attack that permanently shut down an anti-spam company called Blue Security once.
[183.00s -> 189.00s]  And, you know, finally, of course, people do it for bragging rights.
[189.00s -> 194.00s]  So denial of service can happen at many different layers of abstraction.
[194.00s -> 199.00s]  You can do it at the link layer, at the network layer, transport layer, or at the application layer.
[199.00s -> 203.00s]  So here's kind of a warm-up, some very simple denial of service attacks.
[203.00s -> 207.00s]  One is JAML wireless network at the physical layer, right?
[207.00s -> 213.00s]  So you could maybe even just buy some off-the-shelf cordless phone or build a very simple circuit
[213.00s -> 219.00s]  that would make a wireless network inoperable, essentially.
[219.00s -> 225.00s]  Another thing you could do is exploit properties or features of the link layer.
[225.00s -> 229.00s]  So, for example, in 802.11, there's this feature called the net allocation vector,
[229.00s -> 233.00s]  which is used to suggest when the network might be free.
[233.00s -> 240.00s]  And what you can do is you can use that repeatedly to reserve the network for the maximum number of seconds.
[240.00s -> 243.00s]  And then, essentially, at that point, no one will end up transmitting.
[243.00s -> 248.00s]  You'll effectively disable that wireless network.
