# Detected language: en (p=1.00)

[0.00s -> 6.00s]  In the next three videos, I'm going to explain how TCP's congestion control works.
[6.00s -> 11.00s]  The basic summary is that TCP uses additive increase, multiplicative decrease.
[11.00s -> 14.00s]  But there are a lot of details on how this is achieved.
[14.00s -> 17.00s]  TCP is considered a tremendous achievement in networking.
[17.00s -> 23.00s]  It's reliable, a high-performance transport layer that can operate well in a huge range of network environments.
[23.00s -> 28.00s]  Of course it's not perfect, but you can see its strength and how many applications depend on it.
[28.00s -> 35.00s]  This video explains how TCP uses a simple finite-state machine to control the number of packets it has outstanding in the network.
[35.00s -> 43.00s]  This finite-state machine implements an AMD-like algorithm as well as handling a connection setup and significant network disruptions.
[45.00s -> 51.00s]  So recall, congestion controls how a network or protocol or system tries not to overload the network between two endpoints.
[51.00s -> 54.00s]  Say we're transmitting data between San Francisco and Boston.
[54.00s -> 59.00s]  There are many routers between these two endpoints, each with its own queues and traffic load.
[61.00s -> 66.00s]  If we send packets below the rate the route can support, we can expect to see reasonably low packet drop rates.
[66.00s -> 72.00s]  Most of the packets from San Francisco to Boston will arrive, and most of the packets from Boston to San Francisco will arrive.
[72.00s -> 77.00s]  But if we send more packets than the route can support, then they'll be dropped from queues.
[77.00s -> 81.00s]  The sender needs to somehow detect that this packet was lost and retransmit it.
[81.00s -> 83.00s]  This takes time and reduces performance.
[84.00s -> 90.00s]  So the purpose of congestion control is to control how many packets the sender has outstanding in the network.
[90.00s -> 93.00s]  The goal is to send as many packets as the network can support, but not more.
[93.00s -> 97.00s]  Sending more will cause queues to fill up and drop packets.
[97.00s -> 99.00s]  At a high level, this seems simple.
[99.00s -> 107.00s]  What makes it difficult, as we'll see, is that in TCP's case, the senders have very limited information on the internal state of the network,
[107.00s -> 111.00s]  and so must infer losses from these limited signals.
[113.00s -> 118.00s]  The basic summary is that in its steady state, TCP uses AIMD.
[118.00s -> 121.00s]  It maintains a variable called its congestion window.
[121.00s -> 127.00s]  The congestion window specifies how many unacknowledged segments the connection can have outstanding in the network.
[128.00s -> 135.00s]  As the sender receives acknowledgments, these indicate that segments have left the network, and so it can send more.
[135.00s -> 143.00s]  Every round-trip time, RTT, TCP increases the size of the congestion window by one maximum segment size, one MSS.
[143.00s -> 146.00s]  This is the additive increase of AIMD.
[146.00s -> 154.00s]  When TCP detects a packet loss, it halves the congestion window, or in some cases, sets it to be one segment.
[156.00s -> 161.00s]  So far, we've explained congestion control as a clear and obvious issue that arises,
[161.00s -> 165.00s]  and AIMD is a simple and highly effective algorithm to manage congestion.
[165.00s -> 168.00s]  But this wasn't realized from the beginning.
[168.00s -> 172.00s]  I'm going to give a bit of history on how TCP evolved to use AIMD.
[172.00s -> 174.00s]  This is a great story.
[174.00s -> 176.00s]  The internet collapsed and became unusable.
[176.00s -> 180.00s]  In response to this meltdown, some researchers came up with AIMD.
[180.00s -> 182.00s]  I'll explain exactly how it works.
