# Detected language: en (p=1.00)

[0.00s -> 0.84s]  Hello, everyone.
[0.84s -> 2.96s]  I'm really, really glad to be here,
[2.96s -> 5.44s]  be able to share a little bit more about our work.
[5.44s -> 8.84s]  And I would, of course, like to organize the organizers
[8.84s -> 11.08s]  for inviting me to be a part of this class.
[12.48s -> 14.64s]  All right, so, you know, three and a half years ago,
[14.64s -> 16.72s]  I had just finished two big projects.
[16.72s -> 17.96s]  One of them was alpha code.
[17.96s -> 19.68s]  The other one was alpha tensor.
[19.68s -> 21.08s]  I'll tell you a little bit more about those
[21.08s -> 21.92s]  in the future.
[21.92s -> 26.00s]  But basically during the Christmas holiday in 2021,
[26.00s -> 28.12s]  I stumbled on this talk from 2019
[28.16s -> 30.08s]  called The Future of Mathematics.
[30.08s -> 32.08s]  And the talk is over an hour.
[32.08s -> 34.96s]  The comments were extremely positive.
[34.96s -> 36.14s]  One person was saying, you know,
[36.14s -> 39.36s]  this is the best lecture and the best YouTube video ever.
[39.36s -> 41.96s]  I've never watched anything more enjoyable.
[41.96s -> 45.86s]  So, you know, I was pretty intrigued and I pressed play
[45.86s -> 49.60s]  and we started a chain of inelectable events
[49.60s -> 53.04s]  that basically takes me here in front of you today.
[53.04s -> 56.80s]  So in this talk, rather than focusing on the details,
[57.20s -> 59.96s]  I'd really like to focus on the big ideas
[59.96s -> 62.72s]  that allowed us to work on alpha proof
[62.72s -> 65.40s]  and why we believe it has an integral role to play
[65.40s -> 67.28s]  in the future of mathematics.
[67.28s -> 70.24s]  I will basically talk first about the rise
[70.24s -> 72.48s]  of formal mathematics and what that is,
[72.48s -> 75.40s]  and then about our experience in reinforcement learning
[75.40s -> 77.56s]  and the lessons we've took away
[77.56s -> 80.80s]  and how these two things meet with alpha proof.
[83.10s -> 85.72s]  So, Ganileo said quite a long time ago
[85.72s -> 87.42s]  that the laws of nature are written
[87.42s -> 89.48s]  in the language of mathematics.
[89.48s -> 92.04s]  It was an incredible prediction or insight
[92.04s -> 95.48s]  because we've made a lot of progress since Ganileo.
[95.48s -> 98.24s]  And indeed now just a few equations on a single page
[98.24s -> 102.08s]  can describe how the universe works extremely precisely.
[103.54s -> 105.40s]  Also in a famous essay
[105.40s -> 108.92s]  called The Unreasonable Effectiveness of Mathematics,
[108.92s -> 111.28s]  Eugene Wigner argues that, you know,
[111.28s -> 114.20s]  mathematics not only have like a descriptive power,
[114.24s -> 116.96s]  but they also have predictive power.
[116.96s -> 119.88s]  One example he gives, if I'm not mistaken,
[119.88s -> 123.24s]  is the development of matrix algebra
[123.24s -> 124.94s]  and its use in quantum mechanics.
[125.84s -> 127.52s]  Of course, once you can describe
[127.52s -> 132.04s]  and predict the natural world, you can start to shape it.
[132.04s -> 135.00s]  And if you look around us, you know,
[135.00s -> 136.88s]  in the world we live in, the civilization,
[136.88s -> 138.48s]  the culture, all the tech, you know,
[138.48s -> 140.64s]  that makes our current world,
[140.64s -> 142.20s]  well, basically mathematics is just
[142.24s -> 143.60s]  at the core of everything.
[145.04s -> 148.08s]  And maybe I would also like to argue that
[148.08s -> 151.08s]  mathematics is the root node to intelligence.
[151.08s -> 153.40s]  The root node is a word that
[153.40s -> 156.78s]  Demetris really likes to talk about.
[157.80s -> 161.52s]  And basically, you know, it means that from that road
[161.52s -> 165.32s]  is going across on the whole tree of possibilities.
[165.32s -> 167.80s]  And why could we argue that is because, you know,
[167.80s -> 170.88s]  mathematics requires reasoning and planning,
[170.88s -> 174.48s]  generalization and abstraction, knowledge and creativity,
[174.48s -> 177.66s]  open-ended and unbounded complexity.
[177.66s -> 180.04s]  And over the years, I also understood that
[180.04s -> 182.66s]  mathematics is not just this kind of
[182.66s -> 185.24s]  application of logical rules one after the other.
[185.24s -> 189.20s]  It's really a sort of art.
[189.20s -> 191.80s]  And so it even requires a knife of beauty.
[191.80s -> 193.44s]  And so I used a lot of keywords here,
[193.44s -> 197.12s]  and that you'll see them reappearing during my talk.
[197.12s -> 199.92s]  And I hope that will make this a bit more concrete.
[201.60s -> 205.60s]  In summary, I've tried to convey to you that,
[205.60s -> 207.44s]  you know, mathematics is a root node
[207.44s -> 209.16s]  to understand the natural world,
[209.16s -> 212.00s]  and that you also might be a root node for intelligence.
[213.40s -> 215.44s]  So I think it's worth kind of really thinking
[215.44s -> 218.88s]  about mathematics and see what can we do for that.
[218.88s -> 221.50s]  But before that, I'd like to give you
[221.50s -> 223.48s]  a really super brief history
[223.48s -> 224.96s]  of formalization in mathematics,
[224.96s -> 227.44s]  because basically mathematics hasn't always looked
[227.44s -> 228.96s]  the way it looks now.
[229.44s -> 232.32s]  About 500, you know, before Christ,
[232.32s -> 235.64s]  you know, the Greeks had a great revelation.
[235.64s -> 237.96s]  They understood the importance of the concept
[237.96s -> 239.60s]  of mathematical proof.
[239.60s -> 241.76s]  And in some sense, can you really imagine, you know,
[241.76s -> 244.26s]  it's like you find something that will tell you
[244.26s -> 245.92s]  with certainty that you have attained
[245.92s -> 247.08s]  kind of eternal truth,
[247.08s -> 250.32s]  and you can discover more and more truths of our universe.
[250.32s -> 252.36s]  It must have felt incredible.
[253.60s -> 254.88s]  And since then, you know,
[254.88s -> 257.40s]  proof is at the heart of mathematics,
[257.40s -> 259.16s]  and what constitutes a proof, however,
[259.16s -> 262.96s]  has evolved over the millenniums of mathematical history.
[262.96s -> 265.96s]  One of the first breakthroughs, I'm sure that you know,
[265.96s -> 268.52s]  is with Euclid and his book Elements
[268.52s -> 271.24s]  that have definitions, axioms and theorems.
[271.24s -> 275.28s]  So that's really kind of the start of axiomatization,
[275.28s -> 279.44s]  but that has really kind of been developed much more
[279.44s -> 282.76s]  in the early 20th century with Hilbert program
[282.76s -> 285.60s]  that really developed this to learn on what we have now.
[286.60s -> 289.48s]  So that's kind of axiomatization on one side.
[289.48s -> 292.48s]  On the other side, you know, like mathematics,
[293.58s -> 296.04s]  you know, at the beginning, it didn't really use symbols.
[296.04s -> 297.72s]  And that's for a very long time, you know,
[297.72s -> 300.28s]  even if the Greeks had taken a fine axiomatization
[300.28s -> 302.00s]  and started to use some symbols,
[302.00s -> 304.44s]  the rest of the world kind of described really
[304.44s -> 306.86s]  mathematics with a lot of words.
[306.86s -> 308.88s]  And so here you have like a square
[308.88s -> 311.48s]  and 10 times its root, I pull to 39.
[311.48s -> 313.28s]  So today we would write this as X squared
[313.28s -> 315.40s]  plus 10 X equals 39.
[316.16s -> 317.00s]  So you can look at this description
