# Detected language: en (p=1.00)

[0.00s -> 4.20s]  Try sharing your slides.
[4.20s -> 4.96s]  Yes.
[4.96s -> 5.68s]  One sec.
[5.68s -> 6.18s]  OK.
[24.60s -> 25.48s]  OK.
[25.48s -> 26.48s]  Let's see now.
[30.00s -> 45.20s]  OK.
[45.20s -> 46.64s]  Do you see this?
[46.64s -> 49.36s]  I see your speaker notes.
[49.36s -> 50.72s]  If you're OK with that.
[55.72s -> 56.42s]  Oh, OK.
[56.42s -> 56.92s]  Thanks.
[57.92s -> 59.40s]  Is that it?
[59.40s -> 60.12s]  Oh, OK.
[60.12s -> 61.16s]  Thanks.
[61.16s -> 63.24s]  Cool.
[63.24s -> 64.00s]  I see.
[64.00s -> 68.04s]  But this way, I don't get to see the speaker notes, which
[68.04s -> 69.24s]  I guess is OK.
[69.24s -> 71.92s]  But isn't there a way?
[71.92s -> 74.36s]  I thought there was a way of for me
[74.36s -> 76.72s]  to see the speaker notes, the presenter view,
[76.72s -> 80.72s]  and for you to see the actual screen.
[80.72s -> 82.64s]  I figured this out during the pandemic,
[82.64s -> 85.32s]  but I don't remember how to do it anymore.
[87.92s -> 88.42s]  Yeah.
[88.42s -> 88.92s]  Sorry.
[88.92s -> 90.20s]  Go on, Tara.
[90.20s -> 92.36s]  Go Alex.
[92.36s -> 97.40s]  Do you have in your Google or PowerPoint,
[97.40s -> 101.48s]  is there a button that says presenter view?
[101.48s -> 105.00s]  Yeah, that's what I used to get to the previous screen.
[105.00s -> 105.72s]  Oh, OK.
[105.72s -> 109.80s]  And then, so when you have presenter view on,
[109.80s -> 112.28s]  maybe stop sharing your screen.
[112.28s -> 118.04s]  Do you see two panes of both your actual slides and then
[118.04s -> 129.72s]  the, do you see both your slides and the speaker notes?
[129.72s -> 131.64s]  Yeah, that's what I see in the presenter view.
[131.64s -> 132.36s]  That's right.
[132.36s -> 134.72s]  OK, so now you have your two screens.
[134.72s -> 137.28s]  When you go to share screen, is it possible to just
[137.28s -> 145.24s]  select your slides instead of the speaker notes?
[145.24s -> 146.04s]  OK, I see.
[146.04s -> 151.88s]  So you're saying that I go to, so I first go to PowerPoint
[151.88s -> 156.12s]  and do what, sorry?
[156.12s -> 157.72s]  Go to presenter view.
[157.72s -> 160.08s]  So you should now see two windows,
[160.08s -> 162.64s]  one with your speaker notes and one with the slides.
[162.64s -> 164.08s]  Correct, yeah.
[164.08s -> 170.88s]  And then on Zoom, click share and only share your window
[170.88s -> 172.32s]  that corresponds to the slides.
[176.40s -> 178.72s]  I see, so that's not it, right?
[178.72s -> 181.60s]  Yeah, not that one.
[181.60s -> 184.12s]  OK, I think this is too complicated perhaps.
[184.12s -> 188.80s]  Let's just, yeah, I'll just use the slide show view.
[188.80s -> 190.52s]  OK, that works.
[194.08s -> 195.96s]  OK, so how does this work?
[195.96s -> 205.12s]  Cool, OK, so I think Xinyan will come on, hopefully, and.
[205.12s -> 206.44s]  Caillou will come on.
[206.44s -> 207.52s]  Oh, is Caillou today?
[207.52s -> 212.20s]  OK, well, Caillou will come on and introduce you at 10,
[212.20s -> 215.28s]  10, or like basically in 10, 7 minutes.
[215.28s -> 219.88s]  And you feel free to just go for as long as you want.
[219.88s -> 222.88s]  You'll have until, you haven't been able to see the slides
[222.88s -> 225.28s]  until, you have two hours basically,
[225.28s -> 229.36s]  but usually people finish in like an hour or like 90 minutes
[229.36s -> 234.76s]  and then there's just time for Q&A at the end.
[234.76s -> 240.72s]  And basically the Q&A will be, oh, Caillou's here.
[240.72s -> 244.68s]  Those are the Q&A's coming from our viewers online
[244.68s -> 246.52s]  and I can read out the questions or Caillou
[246.52s -> 248.68s]  can to have you answer them.
[248.68s -> 251.48s]  That sounds great.
[251.48s -> 252.76s]  Hey, Caillou.
[252.76s -> 255.28s]  Hey, Saad, how are you?
[255.28s -> 256.80s]  Good, good.
[256.80s -> 258.16s]  Thank you for coming.
[258.16s -> 258.80s]  Of course.
[265.16s -> 267.76s]  Yeah, and then Berkeley classes start 10 minutes
[267.76s -> 271.40s]  after the hour, so I guess you can close your camera
[271.40s -> 273.48s]  if you want and we'll get started at like 10, 10.
[276.84s -> 279.44s]  OK, and then just to make sure I understand,
[279.48s -> 284.12s]  so I won't get to see the questions, right?
[284.12s -> 286.12s]  Because they are showing up on what, YouTube
[286.12s -> 288.48s]  or is there a different platform?
[288.48s -> 289.84s]  We're using a different platform.
[289.84s -> 292.20s]  I can share with you the questions directly
[292.20s -> 295.52s]  if you wanted to read them out yourself and answer them,
[295.52s -> 297.88s]  but also generally we've had one of us
[297.88s -> 299.84s]  read out the questions to you and then you can answer them.
[299.84s -> 300.80s]  But if it's helpful to read it,
[300.80s -> 303.16s]  I can show you where the questions are coming from.
[303.16s -> 304.20s]  No, I think that's fine.
[304.20s -> 305.56s]  You can read it.
[305.56s -> 308.36s]  And is the norm that people ask questions
[308.36s -> 313.00s]  during the lecture or is it more like I just talk?
[313.00s -> 315.68s]  Generally, we save it all to the end.
[315.68s -> 316.44s]  OK.
[316.44s -> 317.80s]  If that's OK with you, yeah.
[317.80s -> 319.44s]  Yeah, that sounds good.
[319.44s -> 320.80s]  Sounds good.
[320.80s -> 324.16s]  And how many students are there?
[324.16s -> 328.16s]  We have, I believe, close to 300 Berkeley students
[328.16s -> 334.48s]  and then we have around 6,000 online MOOC students.
[334.48s -> 336.80s]  But I think in terms of live viewership,
[336.80s -> 340.16s]  it's usually around like the 400 mark-ish
[340.16s -> 342.96s]  because we're coming from international.
[342.96s -> 343.44s]  Right.
[343.44s -> 343.88s]  Time zones.
[343.88s -> 344.36s]  Mm-hmm.
[358.20s -> 361.72s]  Caoyou, is Dawn also joining?
[361.72s -> 364.48s]  I don't think so.
[364.48s -> 366.48s]  You usually think you will be joining,
[366.52s -> 368.72s]  but she has a conflict today.
[368.72s -> 370.80s]  So that's fine.
[370.80s -> 371.32s]  Right.
[382.08s -> 385.28s]  What time is it there?
[385.28s -> 387.28s]  Eight hours ahead of you.
[387.28s -> 387.96s]  Eight hours.
[391.56s -> 396.44s]  Yeah, you guys had Thomas speak a few weeks ago, right?
[396.44s -> 398.28s]  Yeah, that's right.
[398.28s -> 400.04s]  She talked about other proof.
[400.04s -> 401.80s]  That's right.
[426.44s -> 427.92s]  OK.
[456.44s -> 457.92s]  All right.
[486.44s -> 487.92s]  All right.
[516.44s -> 520.44s]  And what platform do you use for the MOOC?
[520.44s -> 521.44s]  Is this edX?
[523.44s -> 527.44s]  We host everything on our own course website
[527.44s -> 530.44s]  and then the livestream takes place over YouTube.
[530.44s -> 531.44s]  Yeah.
[531.44s -> 532.44s]  Yeah.
[532.44s -> 533.44s]  Yeah.
[533.44s -> 534.44s]  Yeah.
[534.44s -> 535.44s]  Yeah.
[535.44s -> 536.44s]  Yeah.
[536.44s -> 537.44s]  Yeah.
[537.44s -> 538.44s]  Yeah.
[538.44s -> 539.44s]  Yeah.
[539.44s -> 540.44s]  Yeah.
[540.44s -> 541.44s]  Yeah.
[541.44s -> 542.44s]  Yeah.
[542.44s -> 543.44s]  Yeah.
[543.44s -> 544.44s]  Yeah.
[544.44s -> 545.44s]  Yeah.
[546.44s -> 547.44s]  I see.
[547.44s -> 548.44s]  I see.
[548.44s -> 551.44s]  And then the questions, how do you set that up?
[551.44s -> 556.44s]  We use a platform called Slido where students can ask questions
[556.44s -> 559.44s]  and vote for their favorite questions.
[559.44s -> 560.44s]  Oh, cool.
[560.44s -> 561.44s]  OK.
[561.44s -> 562.44s]  Yeah.
[572.44s -> 575.44s]  And we have TA to edit the videos
[575.44s -> 577.44s]  and before uploading to YouTube.
[577.44s -> 578.44s]  OK.
[578.44s -> 579.44s]  That sounds good.
[581.44s -> 582.44s]  Yeah.
[582.44s -> 584.44s]  One thing that's a little bit disconcerting
[584.44s -> 589.44s]  about this sort of online talk is that I don't see students.
[589.44s -> 591.44s]  I don't know what the reaction is,
[591.44s -> 593.44s]  whether or not they're understanding,
[593.44s -> 595.44s]  but I guess that's just part of the MOOC.
[596.44s -> 597.44s]  Yeah.
[597.44s -> 598.44s]  Yeah.
[598.44s -> 599.44s]  It's definitely difficult.
[601.44s -> 602.44s]  Yeah.
[602.44s -> 604.44s]  I guess in the future we could set up a camera in the classroom
[604.44s -> 607.44s]  because I was physically in the classroom
[607.44s -> 610.44s]  like the week before last week.
[610.44s -> 612.44s]  There were a lot of students there.
[614.44s -> 615.44s]  Oh, I see.
[615.44s -> 617.44s]  So in the classroom there is a camera?
[618.44s -> 621.44s]  There isn't, but I was there.
[621.44s -> 623.44s]  So I know there were a lot of students.
[623.44s -> 624.44s]  Uh-huh.
[624.44s -> 625.44s]  OK.
[625.44s -> 626.44s]  Yeah.
[626.44s -> 628.44s]  Like some of our talks were able to host on Berkeley campus
[628.44s -> 630.44s]  if the speaker's able to come out,
[630.44s -> 632.44s]  but in other ways we're able to accommodate
[632.44s -> 634.44s]  just by having it all online.
[634.44s -> 635.44s]  Right.
[635.44s -> 636.44s]  Yeah.
[643.44s -> 648.44s]  So the online lectures are also being streamed on campus,
[648.44s -> 651.44s]  or is the audience going to be entirely from home?
[653.44s -> 655.44s]  We make sure our Berkeley students
[655.44s -> 657.44s]  are going to watch the recording
[657.44s -> 660.44s]  or the livestream on YouTube as well as our MOOC students.
[660.44s -> 661.44s]  Yeah.
[661.44s -> 663.44s]  No, but when they're watching it,
[663.44s -> 664.44s]  is there an actual classroom?
[664.44s -> 667.44s]  Is there an actual classroom where this is being streamed?
[667.44s -> 668.44s]  Oh, no.
[668.44s -> 671.44s]  We just have them watch it on their desktop at home
[671.44s -> 672.44s]  or wherever they're at.
[672.44s -> 673.44s]  OK.
[673.44s -> 674.44s]  Right, right, right.
[674.44s -> 675.44s]  That makes sense.
[685.44s -> 688.44s]  I think about the time we can probably get started,
[688.44s -> 693.44s]  and I can, well, if Tara thinks it's ready.
[694.44s -> 695.44s]  Yeah, yeah, go ahead.
[695.44s -> 696.44s]  Sure.
[696.44s -> 698.44s]  I can introduce the speaker today.
[698.44s -> 703.44s]  And Surat is a professor of computer science at UT Austin
[703.44s -> 706.44s]  and visiting research at Google DeepMind.
[706.44s -> 710.44s]  His research lies at the intersection of programming languages,
[710.44s -> 712.44s]  automated reasoning, and machinery.
[712.44s -> 715.44s]  He aims to develop a new class of intelligent systems
[715.44s -> 719.44s]  that are reliable, transparent, and secure by construction
[719.44s -> 722.44s]  and can solve reasoning-intensive tasks.
[722.44s -> 725.44s]  Surat has received various awards,
[725.44s -> 729.44s]  including an NSF career award and several dissertation award
[729.44s -> 732.44s]  and also several distinguished paper award.
[732.44s -> 734.44s]  And he also served as the program chair
[734.44s -> 736.44s]  for CAV and ICLR.
[736.44s -> 739.44s]  And yeah, let's welcome Surat.
[741.44s -> 744.44s]  Thank you very much, Caillou, for that introduction.
[744.44s -> 748.44s]  And even though I can't see any of the students,
[748.44s -> 751.44s]  thank you so much for your attention.
[751.44s -> 756.44s]  I hope that I'll be able to teach you something interesting today.
[758.44s -> 760.44s]  So in this course,
[760.44s -> 765.44s]  you have seen a lot of different kinds of uses of LLMs.
[765.44s -> 771.44s]  And today I'm going to emphasize the use of LLMs
[771.44s -> 775.44s]  as a tool of scientific and mathematical discovery.
[775.44s -> 778.44s]  And in particular, there's going to be an emphasis
[778.44s -> 783.44s]  on the ability of LLMs to discover abstract concepts
[783.44s -> 787.44s]  and how this can accelerate these discovery processes.
[790.44s -> 793.44s]  Okay, so let us dive in.
