# Detected language: en (p=1.00)

[0.00s -> 7.32s]  Okay. Hi, everyone.
[7.32s -> 9.56s]  Okay. So, for today,
[9.56s -> 16.24s]  we're going to do a 180 from where we were on Tuesday.
[16.24s -> 23.16s]  So, today, I'm going to talk about syntactic structure,
[23.16s -> 26.16s]  linguistic structure of human language sentences,
[26.20s -> 30.36s]  dependency parsing, and dependency grammars,
[30.36s -> 33.60s]  and then how you go about building dependency parsers.
[33.60s -> 40.12s]  So, we're solidly into linguistic zone today.
[40.12s -> 44.32s]  How many people in the audience have done a linguistics class?
[44.32s -> 45.08s]  Yay.
[45.08s -> 45.56s]  Okay.
[45.56s -> 47.88s]  There are some people who have done linguistics classes.
[47.88s -> 50.04s]  Okay, great.
[50.04s -> 51.56s]  And for the rest of you, well,
[51.56s -> 53.96s]  this is your chance to see a little bit of human language
[53.96s -> 54.80s]  structure.
[54.80s -> 57.52s]  And if you like it, you can enroll in the linguistics class
[57.52s -> 59.36s]  later on.
[59.36s -> 68.00s]  Yeah, so assignment two, we handed out on Tuesday.
[68.00s -> 70.88s]  So, in the second half of assignment two,
[70.88s -> 74.76s]  what your job to do is to build a neural dependency
[74.76s -> 77.56s]  parser using PyTorch.
[77.56s -> 80.08s]  As we'll sort of come to later on,
[80.08s -> 82.04s]  really, the bit that you have to build
[82.20s -> 85.64s]  is just the machine learning bit of making decisions.
[85.64s -> 87.36s]  And really, we give you most of the rest
[87.36s -> 89.60s]  of the neural dependency parser.
[89.60s -> 92.44s]  But this is also then a chance to remind you
[92.44s -> 94.96s]  that assignment two in that second half
[94.96s -> 97.84s]  uses PyTorch, one of the leading deep learning
[97.84s -> 99.36s]  frameworks.
[99.36s -> 101.00s]  So, if you're not familiar with that,
[101.00s -> 103.68s]  it would be a really good idea to also go along
[103.68s -> 107.68s]  to the Friday PyTorch tutorial.
[107.68s -> 109.88s]  Though we have tried to make assignment two,
[109.88s -> 113.36s]  so it's a fairly good place for learning PyTorch
[113.36s -> 115.40s]  as you go along.
[115.40s -> 118.40s]  We'll say more soon about final projects,
[118.40s -> 120.28s]  but you're certainly already encouraged
[120.28s -> 123.76s]  to come and meet with TAs or me about final projects.
[123.76s -> 125.88s]  And we're putting up information about the TAs
[125.88s -> 131.36s]  so you can know more about them on the office hours page.
