# Detected language: en (p=1.00)

[0.00s -> 8.72s]  Okay, hi everyone.
[8.72s -> 11.20s]  Back for more CS224N.
[11.20s -> 20.64s]  Okay, so for today, the plan is essentially a continuation of what we started on Tuesday.
[20.64s -> 28.48s]  So, I'm gonna say more about language models and more about RNNs.
[28.48s -> 33.36s]  In particular, introducing a more advanced form of recurrent neural network,
[33.36s -> 38.32s]  which was for a while very dominant, LSTMs, we'll talk about those.
[38.32s -> 44.32s]  And then in the latter part, as something to be done with recurrent neural networks,
[44.32s -> 47.36s]  we'll start looking at neural machine translation.
[47.76s -> 54.48s]  Okay, so on Tuesday, what we did was we introduced language models,
[54.48s -> 59.84s]  a system that predicts the next word, and then I introduced recurrent neural networks.
[59.84s -> 66.24s]  So that was this new neural architecture that can take sequential input of any length,
[66.24s -> 72.40s]  and it applied the same weights at each step, and can optionally produce output on each step.
[73.12s -> 78.16s]  So these are two distinct notions, though they tend to go together.
[78.16s -> 85.36s]  So recurrent neural network can be used for other purposes on any kinds of sequence,
[85.36s -> 87.44s]  and I'll mention a few of those later today.
[88.64s -> 93.52s]  And language modeling is a traditional component of many NLP tasks,
[93.52s -> 99.20s]  anything to do with generating text or estimating likelihoods of pieces of text.
[99.20s -> 103.20s]  And indeed, in the modern instantiation of large language models,
[103.20s -> 108.56s]  essentially everything we do in NLP is being done by language models.
[108.56s -> 112.56s]  So a language model, one way to do it is with the recurrent neural network.
[112.56s -> 115.04s]  It's certainly not the only way.
[115.04s -> 120.08s]  We also talked last time about N-gram language models, which are language models.
[120.08s -> 124.24s]  And then starting next week, we'll start to talk about transformers,
[124.24s -> 128.24s]  which are now the most widespread way that's used for building language models.
[130.16s -> 135.68s]  So just finish off a teeny bit that I didn't get to last time on evaluating language models.
[135.68s -> 140.48s]  Well, one way to evaluate language models is what I did in class last time,
[140.48s -> 143.68s]  generate some text and say, hey, doesn't this text look good?
[144.64s -> 148.32s]  But, you know, often we want something more rigorous than that.
[148.32s -> 154.32s]  And the standard way to evaluate language models is to say, well, you know,
[154.32s -> 158.40s]  a language model scores a piece of text and says how likely it is,
[158.96s -> 167.12s]  and our standard for text in the language is stuff produced by human beings.
[167.12s -> 173.04s]  So if we find a new piece of text, which wasn't text that the model was trained on, right?
[173.04s -> 180.32s]  We want some fresh evaluation data, and we show it to a language model.
[180.32s -> 186.24s]  We can then ask the language model to predict the success of words of this text.
[186.24s -> 190.40s]  And the better it is at doing that, the better a language model it is,
[190.40s -> 196.24s]  because it's more accurately able to predict a human written piece of text.
[196.24s -> 201.60s]  And so the standard way that that is measured is with this measure that's called perplexity.
[202.16s -> 209.36s]  And so for perplexity, we're taking the probability of a prediction from the language model,
[209.36s -> 210.64s]  we're inverting it.
[210.64s -> 214.56s]  So instead of it being, you know, 0.002 or something,
[214.56s -> 218.64s]  we're turning into 500 or something like that.
[220.56s -> 223.04s]  And then we're taking those numbers,
[223.60s -> 227.28s]  we're taking the product of them at each position in the text,
[227.28s -> 230.16s]  and then we're finding the geometric average of them.
[231.44s -> 234.40s]  So that's the measure that's normally used.
[234.40s -> 242.80s]  But in this class, we've been tending to look at negative log likelihoods
[242.80s -> 245.76s]  and the idea of cross entropy.
[247.04s -> 253.60s]  And so what perplexity is, is it's just the exponential of the cross entropy.
[254.64s -> 260.16s]  So if you're already familiar with negative log per word, negative log likelihoods,
[260.16s -> 265.28s]  if you just exponentiate that, you then get the perplexity.
[265.28s -> 271.12s]  Now there's one other little trick as to what base you use for your logarithms and exponentials.
[271.12s -> 275.60s]  I mean, traditionally thinking of sort of binary and stuff,
[275.60s -> 280.24s]  a lot of the time people use base two for measuring perplexity.
[281.20s -> 282.80s]  That's kind of gone out now.
[282.80s -> 285.44s]  A lot of the time now people are using natural logs,
[285.44s -> 288.08s]  but if you're comparing perplexity numbers,
