# Detected language: en (p=1.00)

[0.00s -> 6.12s]  Great.
[6.12s -> 9.00s]  So I think let's get started because we have a lot to cover today.
[9.00s -> 11.04s]  So my name is Yan.
[11.04s -> 15.94s]  For those who don't know me, I'm a third year PhD student advised by Tatsu and Percy.
[15.94s -> 19.50s]  And today I'll be talking about benchmarking and evaluations.
[19.50s -> 24.00s]  So benchmarking and evaluations are honestly something that I think not enough people
[24.00s -> 26.56s]  look at in academia.
[26.56s -> 30.44s]  But if you really want to put something in production and you really care about, let's
[30.44s -> 34.50s]  say real world machine learning, evaluation is really key.
[34.50s -> 37.52s]  So let's talk about that.
[37.52s -> 44.28s]  So overview of what we'll talk about first is different reasons for measuring performance.
[44.28s -> 48.28s]  Then I'll talk about text classification and how you measure performance there.
[48.28s -> 51.38s]  Then text generations and how you measure performance there.
[51.38s -> 58.16s]  And then finally, how do you evaluate current large language models and some issues and
[58.16s -> 63.86s]  challenges with the ways that we actually perform evaluations.
[63.86s -> 69.60s]  So my mental model of how you actually develop a machine learning model is that first you
[69.60s -> 71.90s]  will be training your model.
[71.90s -> 77.22s]  So here measuring performance is really key because you need to have a loss that you
[77.22s -> 80.62s]  need to know basically how to optimize.
[80.62s -> 85.24s]  Then once you are optimizing your loss, the second step is basically development.
[85.24s -> 91.78s]  So usually this is hyper-parameter tuning or, for example, if you have early stopping
[91.78s -> 92.78s]  during your models.
[92.78s -> 96.30s]  Like if you see that your model is not performing that well, you might or that there's
[96.30s -> 100.42s]  like some overfitting happening, you might decide to stop or you might decide to like
[100.42s -> 103.14s]  change the learning rate during the training of your model.
[103.14s -> 105.88s]  So development is kind of the second step.
[105.88s -> 110.10s]  And here you need to measure performance because you need to know how to do actually models
[110.58s -> 115.78s]  sorry, hyper-parameter tuning and like changing hyper-parameters.
[115.78s -> 118.46s]  Then the third step is essentially model selection.
[118.46s -> 123.40s]  So if I have a task that I really care about, which model performs best for my task?
[123.40s -> 125.42s]  That might be a model that I have trained.
[125.42s -> 128.76s]  It might be a model that another group has trained.
