# Detected language: en (p=1.00)

[0.00s -> 8.88s]  Thanks everyone for coming.
[8.88s -> 13.72s]  It's a really busy time in the quarter, everyone's busy with homework project and midterms.
[13.72s -> 20.92s]  Yeah, today I'm going to tell you something I'm really passionate about, is the speech
[20.92s -> 23.26s]  pre-computer interface.
[23.26s -> 28.26s]  My research, so before that I just saw some self-introductions.
[28.26s -> 33.78s]  So I'm Chao Fei, I'm from the Stanford NPTEL lab.
[33.78s -> 40.02s]  Our lab is trying to build speech pre-computer interfaces to help people restore communication
[40.02s -> 43.62s]  or restore movements.
[43.62s -> 50.18s]  So today I think I'm just going to really tell you guys how cool this pre-computer
[50.18s -> 57.46s]  interface is, given that we have so many recent developments in the AI and machine learning.
[57.46s -> 61.70s]  And I hope you guys can enjoy this talk.
[61.70s -> 71.84s]  All right, so let me first start with a video to give you some motivations that why we
[71.84s -> 74.30s]  want to build a pre-computer interface.
[80.78s -> 88.26s]  Yeah, I think what this story tell is that we saw this teenager Howard, who's 21 at the
[88.26s -> 94.62s]  time of this video, was shot and he lost all his dreams because of a severe stroke
[94.62s -> 100.54s]  that also made him in this kind of a locking state where he can't move.
[100.54s -> 107.70s]  And he talked about he used to going out and play football, making friends, and just
[107.70s -> 109.46s]  let his emotions out.
[109.46s -> 114.54s]  I think all this is a loss to him and I think the most important thing is that he couldn't
[114.54s -> 119.22s]  really speak to express himself, to let all the emotions out.
[119.22s -> 124.50s]  So Howard is just like one of those individuals who suffer from this kind of neurological
[124.50s -> 131.60s]  disease disorder such as brain stem stroke or ALS that can cause severe speech and
[131.60s -> 134.70s]  motor impairment and even complete loss of speech.
[138.10s -> 141.42s]  Those individuals, I think the life is really challenging for them, right?
[141.42s -> 142.42s]  Just think about it.
[142.42s -> 144.34s]  You cannot speak, you cannot move.
[144.34s -> 148.98s]  You still have a fully functioned brain, but everything is lost.
[148.98s -> 153.26s]  All your dreams could be shattered.
[153.26s -> 159.00s]  So I think for people like Howard, as you just saw in this video, the way they can
[159.00s -> 164.30s]  still communicate with the outside world, with their loved one, is through this assistive
[164.30s -> 168.22s]  communication devices such as the one we just saw in the video, which is this kind
[168.22s -> 172.58s]  of letter board that has letters organized physically.
[172.58s -> 177.62s]  And for people like Howard, which may still have some residual movement, they can use
[177.62s -> 184.58s]  their gaze to tell his friend where he's looking at and then his friend can use the
[184.58s -> 187.18s]  gaze to tell what letter he's trying to say.
[187.18s -> 191.50s]  Just imagine how slow this process is if you want to just say a sentence.
[191.70s -> 198.06s]  It might take you a few minutes to express simple things like how are you, I'm feeling
[198.06s -> 200.42s]  not comfortable today.
[200.42s -> 207.10s]  An alternative here is you can also use an eye tracking device so that people can
[207.10s -> 212.78s]  use eye trackings to type on the computer on virtual keyboard.
[212.78s -> 218.02s]  But just think about it, if you have to look at the computer screen all the times,
[218.02s -> 220.26s]  all day, it's really tiring for them.
[220.30s -> 225.90s]  And also these people are not like us, they probably even if they still have a residual
[225.90s -> 231.46s]  eye movement, it's very hard for them to move their eyes so it's very tiring as well.
[236.14s -> 241.78s]  Maybe something different here is that maybe some of you guys have already seen this recently
[241.78s -> 246.10s]  as some videos published by a company called Neuralink.
[246.10s -> 249.54s]  For example, here's one video here, let me see if we can play them.
[250.70s -> 251.90s]  Hopefully I can play them.
[254.30s -> 260.10s]  All right, so I think here is that this company Neuralink is developing this kind
[260.10s -> 268.74s]  of like a tiny implantable device that can be actually placed inside your skull
[268.74s -> 273.14s]  and then rate the brain signals.
[273.14s -> 278.98s]  The hope here is that because for people like Howard, their brain is still fully functioning,
[278.98s -> 285.46s]  so we kind of hope here is that maybe we can using this kind of like a direct interface
[285.46s -> 291.06s]  with their brain so that they can still use their intact brain to control a computer or
[291.06s -> 294.58s]  even robots to help them to live a normal life.
[294.58s -> 302.74s]  And here is a quote from their participants, Nolan, and he's pretty excited about being
[302.74s -> 309.94s]  able to using this very state of art BCI to be able to connect with their families and
[309.94s -> 312.66s]  then be able to support himself.
[312.66s -> 316.82s]  I think this kind of like BCI, what I'm trying to say here is that for people like
[316.82s -> 324.10s]  Howard or like a lot of people who has lost their control of their body and language,
[324.10s -> 326.14s]  I think the BCI can bring hope to them.
[326.14s -> 332.42s]  So that's what I'm trying to motivate here today is that we're trying to use BCI to
[332.42s -> 333.78s]  really help these people.
[333.78s -> 338.74s]  But I think before going into the details about how this works, I just want to first
[338.74s -> 344.02s]  go through a brief history of brain-computer interface just to help you guys understand
[344.02s -> 348.34s]  how this thing works, like why we can put such tiny devices into the brain and
[348.34s -> 351.58s]  then suddenly can interpret what the brain is doing.
[351.58s -> 353.38s]  There's a lot of interesting stories here.
[353.38s -> 358.22s]  So let me start with a brief history of BCI.
[358.22s -> 367.18s]  So first, back to the 19th century here, a British scientist called Richard Caton started
[367.18s -> 370.50s]  to do some experiments on animals.
[370.50s -> 376.58s]  And one of the things he found is that you can actually measure the brain, like measure
[376.58s -> 379.54s]  the electricity from the brain.
[379.54s -> 385.98s]  Moreover, if you ask the animal, not ask the animal, but let the animals do some tasks,
[385.98s -> 391.98s]  actually moving their heads, then you can see that the electricity changes somehow.
[391.98s -> 396.98s]  So I think this is the very first early experiments that scientists do to show that
[396.98s -> 400.58s]  okay, actually you can decode some signals from the brain, but we still don't know
[400.58s -> 407.34s]  how exactly what those, exactly what those electric signals means here.
[407.34s -> 418.06s]  So fast forward to 1924, a German scientist called Hans Berger invented this device called,
[418.06s -> 423.14s]  yeah, I always forget how to read that word, but anyway, so it's short for EEG.
[423.14s -> 425.98s]  So it's basically, it's kind of like on the right, you can see, it's kind of like
[425.98s -> 432.10s]  this electrode that you can place on the outside of your, basically on your scalp and
[432.10s -> 436.52s]  then measure this kind of like a wave, like signals.
[436.52s -> 445.18s]  So what this scientist Hans Berger found is that, so first, he's the first scientist
[445.18s -> 450.70s]  to find that you can actually measure this kind of like wave, like signals from like
[450.70s -> 453.68s]  just this kind of like electrodes placed on the head.
[453.68s -> 459.60s]  And then he found that this kind of signals has a very different frequency depending
[459.60s -> 466.24s]  on how the user, how the patient is, like the state of patient, for example, if the
[466.28s -> 470.24s]  patient is in this kind of very calm state, then it will have generated this kind of slow
[470.24s -> 476.20s]  alpha wave around like 10 to maybe 20 hertz, I forgot the exact range, but if the patient
[476.20s -> 480.48s]  has opened their eyes and then doing some like cognitive demanding tasks, then you'll
[480.48s -> 482.50s]  see really sharp beta waves.
[482.50s -> 486.82s]  So he's the first scientist to discover that you can actually, you know, using this kind
[486.82s -> 492.40s]  of like electrodes to measure the brain, the electricity, the electric signal of the brain.
[492.40s -> 500.14s]  And also there's a funny story here is that Hans Berger used to be a soldier and then one
[500.14s -> 503.64s]  day he was training on a horse and then he fell from the horse and had suffered from
[503.64s -> 504.64s]  a concussion.
[504.64s -> 509.78s]  He also has like a twin sister, not a twin, but he has a, yes, he has a twin sister
[509.78s -> 516.60s]  and then the story is that at the same day her sister felt like there is something
[516.60s -> 520.72s]  weird and then he's just starting to worry about his brother.
[520.72s -> 525.56s]  So her sister, his sister sent a telegraph to his father and telling his brother that
[525.56s -> 527.84s]  is his brother okay?
[527.84s -> 532.16s]  So this really intrigued Hans Berger that, you know, maybe there's something called
[532.16s -> 536.86s]  a telepathy that can connect to people through this kind of like, you know, whatever
[536.86s -> 537.94s]  the brain waves.
[537.94s -> 544.20s]  So that's his motivations to start to study psychology and neuroscience and you find this
[544.20s -> 549.92s]  EEG, which we are still using today to diagnose like things like epilepsy.
[549.92s -> 554.52s]  Okay.
[554.52s -> 561.02s]  And then people starting to using this kind of EEG devices to perform like to use it
[561.02s -> 566.92s]  to maybe things we can somehow detect this kind of wave like things from the brain
[566.92s -> 570.68s]  and then we can also control the like the frequency of the wave.
[570.68s -> 576.88s]  So someone started like a musician here starting to use this EEG devices to perform
[576.88s -> 577.88s]  music, right?
[578.08s -> 582.60s]  Anyway, so I guess you guys already got the idea that someone is controlling like trying
[582.60s -> 585.48s]  to perform some music with his brain wave.
[585.48s -> 591.00s]  I think this is a really cool experiment that's done in I think in the 1950s and
[591.00s -> 597.04s]  you can already see that people starting to get the idea that you can actually bypass
[597.04s -> 598.64s]  like your body.
[598.64s -> 602.00s]  You can actually use your brain, directly connect your brain to some like external
[602.00s -> 604.16s]  device and controlling that device.
[604.20s -> 609.68s]  So I think the idea here is that what if we can also leverage the same idea but to help
[609.68s -> 615.12s]  people with like hover, you know, you can help them to maybe control robotic arm.
[615.12s -> 622.08s]  But like the problem with this kind of like a EEG or external measuring device is that
[622.08s -> 624.22s]  the signal you get is very weak.
[624.22s -> 630.48s]  Just imagine that your brain is generating, you know, we probably know that like the
[630.48s -> 632.24s]  brain has a lot of neurons, right?
[632.24s -> 637.36s]  Neurons actually generating a lot of like signals and if you just put some electrodes
[637.36s -> 643.56s]  on the scalp and then what you are actually measuring is like the average neuron firing
