# Detected language: en (p=1.00)

[0.00s -> 9.00s]  Okay, let's just get started.
[9.00s -> 12.00s]  Welcome to Lecture 14 everyone.
[12.00s -> 19.00s]  Hope you've been doing well and managing all of the various deadlines.
[19.00s -> 26.00s]  So today we'll be looking at two interesting applications of language models.
[26.00s -> 30.00s]  In the first half I'll be talking about using language models to reason
[30.00s -> 36.00s]  in domains like math, geometry, doing things like spatial reasoning.
[36.00s -> 40.00s]  And then in the second half of the lecture I'll be talking about how you can use
[40.00s -> 44.00s]  language models to take actions in grounded environments.
[44.00s -> 49.00s]  Okay, so a little bit of a disclaimer.
[49.00s -> 54.00s]  A lot of the content today is research that was done in the last three, four years.
[54.00s -> 60.00s]  So there's plenty of questions, plenty of unanswered questions, and not a lot of answers.
[60.00s -> 68.00s]  So maybe we can have more of a discussion around these topics.
[68.00s -> 72.00s]  Okay, so let's get started with reasoning.
[72.00s -> 78.00s]  So experts like to start a lecture on reasoning by really talking about what are the various kinds of reasoning.
[78.00s -> 80.00s]  So I'm going to do that here.
[80.00s -> 85.00s]  But at a high level it's really about using facts and logic to arrive at an answer.
[85.00s -> 91.00s]  But more concretely there's three distinct categories of reasoning that we can talk about.
[91.00s -> 97.00s]  The first one, which is probably the one that most of you are familiar with, is deductive reasoning.
[97.00s -> 105.00s]  Where we go from rules of logic along with a premise to come with a firm conclusion.
[105.00s -> 113.00s]  So an example of that could be that we have the sentence, all mammals have kidneys, and all whales are mammals.
[113.00s -> 116.00s]  And then we can come up with the conclusion, all whales have kidneys.
[116.00s -> 120.00s]  And we could do multiple such steps of reasoning.
[120.00s -> 129.00s]  A second form of reasoning is inductive, where given observations we derive conclusions.
[129.00s -> 137.00s]  So maybe we've learned from experience that every time we see a creature with wings it is usually a bird.
[137.00s -> 144.00s]  And let's say we observe a state where we see a creature with wings.
[144.00s -> 150.00s]  And using our experience we can come up with this conclusion that the creature is likely to be a bird.
[150.00s -> 153.00s]  So that form of reasoning is inductive.
[153.00s -> 162.00s]  And finally we have abductive reasoning, where we're given an observation and then we start drawing possible explanations.
[162.00s -> 169.00s]  So maybe you see a car that cannot start and there's a puddle of liquid under the engine.
[169.00s -> 173.00s]  And then you start drawing inferences about the situation.
[173.00s -> 177.00s]  So one of them could be that the car has a leak in the radiator.
[178.00s -> 185.00s]  And apart from that taxonomy, we can also think of reasoning in formal and informal terms,
[185.00s -> 193.00s]  where formal reasoning involves using axioms and rules of formal logic to derive truth conditions.
[193.00s -> 198.00s]  There's also informal reasoning, which is what you and I probably do every day.
[198.00s -> 205.00s]  And here we just reason about everyday situations and use common sense to derive conclusions.
[205.00s -> 211.00s]  For most of the lecture when I say reasoning, I will mean informal deductive reasoning.
[211.00s -> 214.00s]  And that's often going to involve multiple steps.
[216.00s -> 220.00s]  So let's come back to language models.
[220.00s -> 232.00s]  So we've learnt in lectures 9, 10, 11 that large language models are really really good at coming up with plausible continuations of text
[232.00s -> 235.00s]  that reflect human preferences and constraints.
[235.00s -> 239.00s]  Today we'll try to answer if they can also reason.
[241.00s -> 248.00s]  So one of the most basic ways we can try to answer this question is via prompting.
[248.00s -> 252.00s]  And we've probably already seen this.
[252.00s -> 261.00s]  There's this popular method called chain of thought prompting, where you get a language model to produce a reasoning step before producing an answer.
[261.00s -> 271.00s]  And we could do this by providing some in-context examples with explicit reasoning steps that the language model can then mimic at test time.
[271.00s -> 274.00s]  So that's chain of thought prompting.
[274.00s -> 283.00s]  Another rather surprising property of language models is that sometimes you don't even have to show them these in-context examples.
[283.00s -> 287.00s]  And you could just prompt them with the sentence, let's think step by step.
[287.00s -> 292.00s]  And you can get these reasoning rationales before they produce an answer.
[292.00s -> 295.00s]  So that's pretty simple.
[295.00s -> 298.00s]  But let's keep going.
[298.00s -> 305.00s]  So another popular way to prompt language models to do reasoning is via self consistency.
[306.00s -> 313.00s]  So here what we do is instead of greedily sampling a rationale followed by an answer,
[313.00s -> 319.00s]  we're going to sample multiple reasoning steps and correspondingly multiple answers.
[319.00s -> 324.00s]  So what we see in the figure on the right, we have a question.
[324.00s -> 333.00s]  And then what you would normally do with chain of thought prompting is you would greedily decode a rationale and then condition on the rationale to generate an answer.
[333.00s -> 338.00s]  With self consistency, we are going to sample multiple times, so sample multiple rationales.
[338.00s -> 341.00s]  They are all going to lead to multiple answers.
[341.00s -> 344.00s]  And then we're going to pick the one that is the most common.
[344.00s -> 355.00s]  With the idea being that if an answer keeps appearing for multiple rationales as the majority of the rationales agree on, then it's more likely to be correct.
[355.00s -> 362.00s]  And the authors of self consistency find that on a variety of mathematical reasoning tasks,
[362.00s -> 369.00s]  if you add this simple idea of self consistency where you sample multiple times and sort of do majority voting,
[369.00s -> 374.00s]  that improves performance pretty drastically over a standard chain of thought.
[374.00s -> 381.00s]  And interestingly, when I saw this result the first time, I thought, okay, this is just like ensembling.
[381.00s -> 384.00s]  We learned this in CS229.
[384.00s -> 393.00s]  The idea is if you want to boost the performance of your system, I'm going to produce like 10 classifiers with different random seeds.
[393.00s -> 397.00s]  I'm going to produce a classification decision and I'm going to do a majority voting.
[397.00s -> 402.00s]  But it turns out that it's doing maybe a little bit more than just simple ensembling.
[402.00s -> 409.00s]  So the authors also compared an ensembling approach where it's the same language model with multiple different prompts.
[409.00s -> 412.00s]  And then you do majority voting there.
[412.00s -> 417.00s]  And then turns out that self consistency is better than just simple ensembling.
[419.00s -> 420.00s]  Okay.
[420.00s -> 425.00s]  So earlier today, I said that I'll be talking about multi-step reasoning.
[425.00s -> 432.00s]  So far we've looked at sort of math problems and like prompting, but not necessarily multi-step reasoning.
[432.00s -> 441.00s]  One of the main kind of aspects about multi-step reasoning is it involves breaking down a large problem into several sub-parts.
[441.00s -> 447.00s]  And answering each of the sub-parts and then combining everything into a solution.
[447.00s -> 448.00s]  Okay.
[448.00s -> 456.00s]  So there's this kind of decomposition strategy that was integrated into another prompting method called least to most prompting.
[456.00s -> 466.00s]  And the idea behind least to most prompting is, like I said, given a question, we're going to first break it down into sub-questions as shown here.
[467.00s -> 475.00s]  And then given these sub-questions, the language model will sort of answer each of the sub-questions.
[475.00s -> 480.00s]  And then condition on its answers to the sub-questions is going to generate the final answer.
[482.00s -> 488.00s]  And this is kind of how it looks like for sort of a math reasoning problem.
[488.00s -> 495.00s]  So in standard chain of thought prompting, you would have a question followed by a rationale and the answer.
[495.00s -> 504.00s]  With least to most prompting, which is this decomposition strategy, you would take the question and then instead of directly producing a rationale,
[504.00s -> 509.00s]  you sort of ask the language model to break it down into problems.
[509.00s -> 512.00s]  And then you have these two different sub-problems.
[512.00s -> 520.00s]  And then you start answering both of those sub-problems and then condition your final answer on the answers to those sub-problems.
[521.00s -> 525.00s]  So that's just like a prompting method, right?
[525.00s -> 536.00s]  One interesting experiment from least to most prompting was showing that you can sometimes generalize from a small number of reasoning steps to a much larger number of reasoning steps.
[536.00s -> 542.00s]  So here, in this sort of math word problem, there's two reasoning steps.
[543.00s -> 557.00s]  And if we show this prompt to the language model sort of as in-context example, we see that it continues to generalize even on examples that require more than five steps of reasoning.
[557.00s -> 561.00s]  And in a way, that's much better than standard chain of thought.
[562.00s -> 568.00s]  But it's not entirely clear if structuring inference in this manner is really fundamental.
[569.00s -> 583.00s]  One of the other results they reported was that with enough prompt engineering, so the rows corresponding to best, normal chain of thought is on par with least to most prompting.
[583.00s -> 593.00s]  But it's kind of an interesting idea of trying to break down problems into sub-problems, solving the sub-problems and then sort of building up a solution based on your answers to the sub-problems.
[594.00s -> 601.00s]  Okay, so all this was different sort of prompting methods to get reasoning behavior out of language models. Can we do something more?
[603.00s -> 617.00s]  So one of the things that we might be interested in is instead of trying to get really large language models to do reasoning, maybe we want to somehow get this kind of reasoning behavior in a smaller language model.
[618.00s -> 629.00s]  And one popular approach for doing that is distillation, where maybe you want to fine-tune a smaller llama model by teaching it to imitate a larger llama model.
[632.00s -> 634.00s]  And so that's what we're going to look at now.
[634.00s -> 648.00s]  So this model is called ORCA, and at a high level, ORCA is going to fine-tune a smaller 13 billion llama language model on explanations produced by GPT-4.
[650.00s -> 654.00s]  And to construct this data, it's pretty simple, it has these three steps.
[655.00s -> 662.00s]  So the first step is we get a wide variety of instructions from the FLAN V2 collection.
[663.00s -> 675.00s]  So FLAN V2 is basically a dataset, it kind of accumulates multiple datasets into one sort of collection, and it consists of instructions paired with questions and answers.
[676.00s -> 679.00s]  And I'll show an example of this in a moment.
[680.00s -> 689.00s]  And then we're going to prompt GPT-4 or ChatGPT with these instructions along with a system message.
[689.00s -> 699.00s]  And the objective of the system message is to get ChatGPT or GPT-4 to produce an informative explanation along with the answer.
[700.00s -> 714.00s]  So here we have a question about simple data processing, about calculating the median, and there's a system instruction that says please justify your steps and kind of answer step by step.
[714.00s -> 723.00s]  And in producing its output, the model sort of provides a fairly detailed explanation of how it got to the answer.
[724.00s -> 730.00s]  And what ORCA is going to do is use precisely this explanation to fine-tune a much smaller model.
[731.00s -> 733.00s]  So that's what's going to happen.
[734.00s -> 743.00s]  Once we have these explanations, we're going to fine-tune a much smaller 13 billion parameter llama model on these explanations.
[744.00s -> 754.00s]  So far we've looked at math reasoning and grade school math problems.
[755.00s -> 758.00s]  Let's turn to a different benchmark for reasoning.
[759.00s -> 765.00s]  So we're going to look at BigBenchHard, and this is another dataset for multi-step reasoning.
[766.00s -> 770.00s]  And let's look at some examples from BigBenchHard.
[771.00s -> 777.00s]  So it consists of multiple different subtasks, so there's a total of 23 different subtasks. I'm going to show a few examples.
[778.00s -> 781.00s]  So one of them is evaluating Boolean expressions.
[782.00s -> 786.00s]  So the question is true and false and not true and true is.
[787.00s -> 791.00s]  So that's basically evaluate this Boolean expression.
[791.00s -> 801.00s]  And with sort of chain of thought, the model can evaluate each of the sub-expressions and get to the final answer.
[802.00s -> 808.00s]  And another example of a task from BigBenchHard is data understanding.
[808.00s -> 824.00s]  So the question is, tomorrow is a given date, what is the date one year ago from today in a given format?
[825.00s -> 833.00s]  And it's paired with some options, and again the model can sort of think step by step, following basic chain of thought, and then come up with an answer.
[833.00s -> 839.00s]  So this is kind of the flavor of tasks in BigBench. Most of these involve multi-step reasoning.
[840.00s -> 846.00s]  They're fairly synthetic, but also reasonably hard for language models.
[847.00s -> 849.00s]  Another example is geometric shapes.
[850.00s -> 855.00s]  And this one is pretty surprising that language models can do anything here.
[855.00s -> 871.00s]  So you're given the SVG path element, and I have no idea what this renders as, but the question is, just given the SVG, what shape are you going to get?
[872.00s -> 878.00s]  And there's a bunch of options, and then again the model prompted with let's think step by step will produce some answer.
[879.00s -> 881.00s]  We don't know if it's correct, but it's going to produce some answer.
[882.00s -> 894.00s]  And so it's basically this data set covering different kinds of reasonings, spatial reasoning, data understanding, evaluating booleans, and it's sort of multi-choice.
[895.00s -> 899.00s]  So it's easier to get an accuracy number.
[900.00s -> 905.00s]  And so it covers a wide variety of different tasks.
[905.00s -> 910.00s]  On the left, we have performance from really large language models.
[911.00s -> 917.00s]  This is zero-shot chain of thought with just the prompt let's think step by step.
[918.00s -> 927.00s]  So GPT-4 has some potential contamination issues with BigBench hard, so maybe we can ignore that column.
[927.00s -> 938.00s]  Wikuna is, I think, a few months ago it was state of the art as an instruction-tuned llama 13b model.
[939.00s -> 955.00s]  And ORCA is again a llama 13b that's fine-tuned specifically on this explanation data where you have instructions, and then you have explanations from chat GPT or GPT-4, and you fine-tune on that.
[955.00s -> 972.00s]  And we see that overall it outperforms chat GPT, maybe because it's specialized to just these reasoning problems, and it outperforms Wikuna, which was not trained on these really extensive explanations.
[973.00s -> 979.00s]  So that's one way you can get a smaller language model to display some kind of reasoning behavior.
[980.00s -> 991.00s]  So this was all great, and we are very happy that you can just generate rationales from a big LM and then fine-tune a smaller language model on that.
[992.00s -> 997.00s]  But then someone could ask why not just fine-tune the big language model on its own rationales.
[998.00s -> 1003.00s]  So that's also been explored, and there's a bunch of different methods that do this.
[1003.00s -> 1007.00s]  I'm going to talk about one of them called reinforced self-training, or REST.
[1008.00s -> 1010.00s]  And I'm just going to alternate between two stages.
[1011.00s -> 1021.00s]  The first stage, given a reasoning problem, and perhaps the prompt let's think step-by-step, I'm going to have the language model generate multiple rationales.
[1022.00s -> 1028.00s]  And then I'm going to filter these rationales based on whether they give me the correct answer or not.
[1028.00s -> 1035.00s]  So think about the word algebra problems. Someone has three apples, someone else has four apples.
[1036.00s -> 1043.00s]  You generate a rationale, and the answer comes out to be seven. You keep that rationale. The answer is 12. You sort of leave that rationale out.
