# Detected language: en (p=1.00)

[0.00s -> 11.84s]  Welcome, everyone, to CS231N.
[11.84s -> 15.22s]  I'm super excited to offer this class again for the third time.
[15.22s -> 19.46s]  It seems that every time we offer this class, it's just growing exponentially, unlike
[19.46s -> 21.48s]  most things in the world.
[21.48s -> 26.32s]  This is the third time we're teaching this class, the first time we had 150 students.
[26.32s -> 28.82s]  Last year, we had 350 students, so it doubled.
[28.82s -> 35.70s]  This year, we've doubled again to about 730 students when I checked this morning.
[35.70s -> 41.02s]  Anyone who was not able to fit into the lecture hall, I apologize, but the videos will be
[41.02s -> 44.88s]  up on the SCPD website within about two hours.
[44.88s -> 48.54s]  If you weren't able to come today, then you can still check it out within a couple
[48.54s -> 51.16s]  hours.
[51.16s -> 55.78s]  This class, CS231N, is really about computer vision.
[55.78s -> 57.28s]  What is computer vision?
[57.28s -> 60.38s]  Computer vision is really the study of visual data.
[60.38s -> 63.90s]  Since there's so many people enrolled in this class, I think I probably don't need to convince
[63.90s -> 69.92s]  you that this is an important problem, but I'm still going to try to do that anyway.
[69.92s -> 73.60s]  The amount of visual data in our world has really exploded just to a ridiculous degree
[73.60s -> 75.50s]  in the last couple of years.
[75.50s -> 80.32s]  This is largely a result of the large number of sensors in the world.
[80.32s -> 83.40s]  Probably most of us in this room are carrying around smartphones, and each smartphone
[83.40s -> 86.90s]  has one, two, or maybe even three cameras on it.
[86.90s -> 91.08s]  I think on average there's even more cameras in the world than there are people.
[91.08s -> 95.14s]  As a result of all these sensors, there's just a crazy large massive amount of visual
[95.14s -> 98.86s]  data being produced out there in the world each day.
[98.86s -> 104.74s]  One statistic that I really like, to put this in perspective, is a 2015 study from
[104.74s -> 111.58s]  Cisco that estimated that by 2017, which is where we are now, that roughly 80 percent
[111.58s -> 114.74s]  of all traffic on the internet would be video.
[115.36s -> 120.38s]  This is not even counting all the images and other types of visual data on the web,
[120.38s -> 125.62s]  but just from a pure number of bits perspective, the majority of bits flying around the internet
[125.62s -> 127.46s]  are actually visual data.
[127.46s -> 132.42s]  It's really critical that we develop algorithms that can utilize and understand this data.
[132.42s -> 138.36s]  However, there's a problem with visual data, and that's that it's really hard to understand.
[138.36s -> 142.90s]  Sometimes we call visual data the dark matter of the internet, in analogy with dark
[142.90s -> 144.70s]  matter in physics.
[144.70s -> 149.74s]  For those of you who have heard of this in physics before, dark matter accounts for some
[149.74s -> 153.22s]  astonishingly large fraction of the mass in the universe.
[153.22s -> 157.54s]  We know about it due to the existence of gravitational pulls on various celestial
[157.54s -> 160.82s]  bodies and whatnot, but we can't directly observe it.
[160.82s -> 164.68s]  Visual data on the internet is much the same, where it comprises the majority of
[164.68s -> 169.94s]  bits flying around the internet, but it's very difficult for algorithms to actually
[169.94s -> 175.86s]  go in and understand and see what exactly is comprising all the visual data on the web.
[175.86s -> 179.66s]  Another statistic that I like is that of YouTube.
[179.66s -> 184.14s]  Roughly every second of clock time that happens in the world, there's something like
[184.14s -> 187.50s]  five hours of video being uploaded to YouTube.
[187.50s -> 194.30s]  If we just sit here and count, one, two, three, now there's 15 more hours of video
[194.30s -> 199.06s]  on YouTube, and Google has a lot of employees, but there's no way that they could ever
[199.06s -> 204.02s]  have an employee sit down and watch and understand and annotate every video.
[204.02s -> 208.90s]  So if they want to catalog and serve you relevant videos and maybe monetize by putting
[208.90s -> 213.02s]  ads in those videos, it's really crucial that we develop technologies that can dive
[213.02s -> 218.50s]  in and automatically understand the content of visual data.
[218.50s -> 223.74s]  So this field of computer vision is truly an interdisciplinary field, and it touches
[223.74s -> 227.30s]  on many different areas of science and engineering and technology.
[227.30s -> 233.22s]  So obviously computer vision is the center of the universe, but as a constellation of
[233.22s -> 237.70s]  fields around computer vision, we touch on areas like physics, because we need to understand
[237.70s -> 241.62s]  optics and image formation and how images are actually physically formed.
[241.62s -> 247.32s]  We need to understand biology and psychology, to understand how animal brains physically
[247.32s -> 249.74s]  see and process visual information.
[249.74s -> 253.78s]  We of course draw a lot on computer science, mathematics, and engineering as we actually
[253.78s -> 259.90s]  strive to build computer systems that implement our computer vision algorithms.
[259.90s -> 263.70s]  So a little bit more about where I'm coming from and about where the teaching staff
[263.70s -> 266.74s]  of this course is coming from.
[266.74s -> 272.54s]  Me and my co-instructor Serena are both PhD students in the Stanford Vision Lab,
[272.54s -> 278.58s]  which is headed by Professor Fei-Fei Li, and our lab really focuses on machine learning
[278.58s -> 280.58s]  and the computer science side of things.
[280.58s -> 282.82s]  I work a little bit more on language and vision.
[282.86s -> 284.62s]  I've done some projects in that.
