# Detected language: en (p=1.00)

[0.00s -> 1.74s]  Stanford University.
[10.38s -> 12.48s]  Okay, so good afternoon, everyone.
[12.48s -> 13.98s]  Let's get started.
[15.18s -> 18.04s]  So, hi, so for those of you who I haven't met yet,
[18.04s -> 19.84s]  my name is Serena Young,
[19.84s -> 24.68s]  and I'm the third and final instructor for this class.
[24.68s -> 28.12s]  And I'm also a PhD student in FEFE's group.
[28.16s -> 31.16s]  Okay, so today we're going to talk about backpropagation
[31.16s -> 32.74s]  and neural networks.
[32.74s -> 34.40s]  And so now we're really starting to get to some
[34.40s -> 37.12s]  of the core material in this class.
[37.12s -> 39.70s]  Before we begin, let's see, oh.
[41.92s -> 44.00s]  So a few administrative details.
[44.00s -> 47.44s]  So assignment one is due Thursday, April 20th.
[47.44s -> 51.32s]  So reminder, we've shifted the date back by a little bit.
[51.32s -> 55.48s]  And it's going to be due 11.59 p.m. on Canvas.
[56.46s -> 59.08s]  So you should start thinking about your projects.
[59.08s -> 62.10s]  There are TA specialties listed on the Piazza website,
[62.10s -> 65.18s]  so if you have questions about a specific project topic
[65.18s -> 68.80s]  you're thinking about, you can go and try and find
[68.80s -> 72.38s]  the TAs that might be most relevant.
[72.38s -> 74.10s]  And then also for Google Cloud,
[74.10s -> 77.34s]  so all students are going to get $100 in credits
[77.34s -> 81.02s]  to use for Google Cloud for their assignments and project.
[81.02s -> 83.20s]  So you should be receiving an email for that this week.
[83.20s -> 85.06s]  I think a lot of you may have already,
[85.48s -> 87.00s]  and then for those of you who haven't,
[87.00s -> 89.68s]  they're going to come, should be by the end of this week.
[92.40s -> 95.48s]  Okay, so where we are, so far we've talked about
[95.48s -> 99.00s]  how to define a classifier using a function f
[99.00s -> 100.76s]  parametrized by weights w.
[100.76s -> 103.72s]  And this function f is going to take data x as input
[103.72s -> 108.72s]  and output a vector of scores for each of the classes
[109.72s -> 111.24s]  that you want to classify.
[111.42s -> 115.42s]  So from here we can also define a loss function,
[115.42s -> 117.14s]  so for example the SVM loss function
