# Detected language: en (p=1.00)

[0.00s -> 1.84s]  Stanford University.
[9.84s -> 10.66s]  Hello?
[11.52s -> 14.24s]  Okay, it's after 12, so I want to get started.
[14.24s -> 16.46s]  So today, lecture eight, we're going to talk about
[16.46s -> 18.20s]  deep learning software.
[18.20s -> 19.60s]  This is a super exciting topic,
[19.60s -> 21.68s]  because it changes a lot every year.
[21.68s -> 23.20s]  That also means it's a lot of work to give this
[23.20s -> 25.96s]  lecture, because it changes a lot every year.
[25.96s -> 28.46s]  But as usual, a couple administrative notes
[28.50s -> 30.26s]  before we dive into the material.
[30.26s -> 32.66s]  So as a reminder, the project proposals
[32.66s -> 35.02s]  for your course projects were due on Tuesday.
[35.02s -> 37.74s]  So hopefully you all turned that in,
[37.74s -> 40.06s]  and hopefully you all have a somewhat good idea
[40.06s -> 41.90s]  of what kind of projects you want to work on
[41.90s -> 43.34s]  for the class.
[43.34s -> 46.50s]  So we're in the process of assigning TAs to projects
[46.50s -> 48.38s]  based on what the project area is
[48.38s -> 50.42s]  and the expertise of the TAs.
[50.42s -> 52.70s]  So we'll have some more information about that
[52.70s -> 55.10s]  in the next couple days, I think.
[55.10s -> 57.18s]  We're also in the process of grading assignment one,
[57.22s -> 60.02s]  so stay tuned, and we'll get those grades back to you
[60.02s -> 61.82s]  as soon as we can.
[61.82s -> 63.82s]  Another reminder is that assignment two
[63.82s -> 64.98s]  has been out for a while.
[64.98s -> 66.74s]  That's going to be due next week,
[66.74s -> 68.82s]  a week from today, Thursday.
[68.82s -> 71.06s]  And again, when working on assignment two,
[71.06s -> 73.18s]  remember to stop your Google Cloud instances
[73.18s -> 76.42s]  when you're not working to try to preserve your credits.
[76.42s -> 80.06s]  And another bit of confusion I just wanted to reemphasize
[80.06s -> 82.90s]  is that for assignment two, you really only need to use
[82.90s -> 85.06s]  GPU instances for the last notebook.
[85.06s -> 87.42s]  For all the first several notebooks,
[87.42s -> 89.14s]  it's just in Python and NumPy,
[89.14s -> 91.86s]  so you don't need any GPUs for those questions.
[91.86s -> 93.86s]  So again, conserve your credits,
[93.86s -> 96.34s]  only use GPUs when you need them.
[96.34s -> 99.34s]  And the final reminder is that the midterm is coming up.
[99.34s -> 101.22s]  It's kind of hard to believe we're there already,
[101.22s -> 105.38s]  but the midterm will be in class on Tuesday, 5-9.
[105.38s -> 107.74s]  So the midterm will be more theoretical.
[107.74s -> 109.78s]  It'll be sort of pen and paper,
[109.78s -> 112.30s]  working through different kinds of,
[112.30s -> 113.54s]  slightly more theoretical questions
[113.54s -> 115.10s]  to check your understanding of the material
[115.10s -> 116.70s]  we've covered so far.
[116.70s -> 118.90s]  And I think we'll probably post at least a short
[118.90s -> 121.78s]  sort of sample of the types of questions to expect.
[121.78s -> 122.62s]  Question?
[122.62s -> 124.74s]  Is it open book, or?
[124.74s -> 127.38s]  Oh, yeah, question is whether it's open book.
[127.38s -> 129.78s]  So we're going to say closed note, closed book.
[129.78s -> 132.58s]  So just, yeah, yeah, so that's what we've done
[132.58s -> 134.46s]  in the past, is just closed note, closed book,
[134.46s -> 136.74s]  relatively just like, want to check that you understand
[136.74s -> 140.90s]  the intuition behind most of the stuff we presented.
[140.90s -> 144.66s]  So a quick recap, as a reminder of what we were talking
[144.66s -> 147.22s]  about last time, last time we talked about fancier
[147.22s -> 149.78s]  optimization algorithms for deep learning models,
[149.78s -> 153.94s]  including SGD Momentum, Nesterov, RMSprop, and Adam.
[153.94s -> 156.02s]  And we saw that these relatively small tweaks
[156.02s -> 160.18s]  on top of vanilla SGD are relatively easy to implement,
[161.06s -> 164.10s]  but can make your networks converge a bit faster.
[164.10s -> 166.82s]  We also talked about regularization, especially dropout.
[166.82s -> 168.98s]  So remember, dropout, you're kind of randomly setting
[169.86s -> 171.78s]  parts of the network to zero during the forward pass,
[171.78s -> 174.10s]  and then you kind of marginalize out over that noise
[174.10s -> 175.10s]  at test time.
[176.10s -> 178.10s]  And we saw that this was kind of a general pattern
[178.10s -> 179.94s]  across many different types of regularization
[179.94s -> 182.18s]  in deep learning, where you might add some kind of noise
[182.18s -> 184.58s]  during training, but then marginalize out that noise
[184.58s -> 187.62s]  at test time, so it's not stochastic at test time.
[187.62s -> 189.70s]  We also talked about transfer learning, where you can
[189.70s -> 191.94s]  maybe download big networks that were pre-trained
[191.94s -> 193.86s]  on some data set, and then fine-tune them
[193.86s -> 194.78s]  for your own problem.
[194.78s -> 196.42s]  And this is one way that you can attack a lot
[196.42s -> 197.86s]  of different problems in deep learning,
[197.86s -> 201.54s]  even if you don't have a huge data set of your own.
[201.54s -> 203.38s]  So today we're gonna shift gears a little bit
[203.38s -> 205.30s]  and talk about some of the nuts and bolts
[205.30s -> 208.42s]  about writing software and how the hardware works,
[208.42s -> 210.98s]  and a little bit, diving into a lot of details
[210.98s -> 213.38s]  about what the software looks like that you actually
[213.38s -> 215.50s]  use to train these things in practice.
[215.50s -> 218.46s]  So we'll talk a little bit about CPUs and GPUs,
[218.46s -> 220.62s]  and then we'll talk about several of the major
[220.62s -> 221.98s]  deep learning frameworks that are out there
[221.98s -> 223.82s]  in use these days.
[224.82s -> 228.34s]  So first, we've sort of mentioned this offhand
[228.34s -> 230.22s]  a bunch of different times, that there's like,
[230.22s -> 232.42s]  computers have CPUs, computers have GPUs,
[232.42s -> 234.86s]  deep learning uses GPUs, but we weren't really
[234.86s -> 237.30s]  too explicit up to this point about what exactly
[237.30s -> 239.50s]  these things are and why one might be better
[239.50s -> 241.78s]  than another for different tasks.
[241.78s -> 243.98s]  So who's built a computer before?
[243.98s -> 246.26s]  Just kind of show of hands.
[246.26s -> 248.90s]  So maybe about a third of you, half of you,
[248.90s -> 250.62s]  somewhere around that ballpark.
[251.38s -> 255.74s]  So this is a shot of my computer at home that I built,
[255.74s -> 258.18s]  and you can see that there's a lot of stuff
[258.18s -> 259.42s]  going on inside the computer.
[259.42s -> 262.66s]  Maybe, hopefully, you know what most of these parts are.
[262.66s -> 265.86s]  And the CPU is the central processing unit.
[265.86s -> 268.50s]  That's this little chip hidden under this cooling fan
[268.50s -> 271.78s]  right here near the top of the case.
[271.78s -> 275.06s]  And the CPU is actually a relatively small piece.
[275.06s -> 277.02s]  It's a relatively small thing inside the case.
[277.02s -> 278.82s]  It's not taking up a lot of space.
[278.86s -> 281.66s]  And the GPUs are these two big monster things
[281.66s -> 283.62s]  that are taking up a gigantic amount of space
[283.62s -> 286.78s]  in the case, they have their own cooling,
[286.78s -> 289.66s]  they're taking a lot of power, they're quite large.
[289.66s -> 293.30s]  So just in terms of how much power they're using,
[293.30s -> 295.26s]  in terms of how big they are, the GPUs are kind of
[295.26s -> 297.50s]  physically imposing and taking up a lot of space
[297.50s -> 298.46s]  in the case.
[298.46s -> 300.38s]  So the question is, what are these things
[300.38s -> 304.14s]  and why are they so important for deep learning?
[304.14s -> 306.58s]  Well, the GPU is called a graphics card
[306.58s -> 308.10s]  or a graphics processing unit.
[308.26s -> 310.78s]  And these were really developed originally
[310.78s -> 312.62s]  for rendering computer graphics,
[312.62s -> 315.58s]  and especially around games and that sort of thing.
[315.58s -> 319.46s]  So another show of hands, who plays video games
[319.46s -> 322.30s]  at home sometimes from time to time on their computer?
[322.30s -> 324.94s]  Yeah, so again, maybe about half, good fraction.
[324.94s -> 327.22s]  So for those of you who've played video games before
[327.22s -> 329.06s]  and who've built your own computers,
[329.06s -> 331.74s]  you probably have your own opinions on this debate.
[331.74s -> 336.26s]  So this is one of those big debates in computer science,
[337.10s -> 340.58s]  there's Intel versus AMD and NVIDIA versus AMD
