# Detected language: en (p=1.00)

[0.00s -> 6.34s]  So, we'll get started.
[6.38s -> 8.98s]  Today we're gonna cover a mixture of experts.
[9.02s -> 11.38s]  Last year this was kind of a fun bonus lecture
[11.42s -> 13.78s]  that I threw together, but this year,
[13.82s -> 16.32s]  thanks to lots of people doing MOEs,
[16.36s -> 18.40s]  this has become a much more critical lecture.
[18.42s -> 21.00s]  So I've added a lot of the recent developments
[21.02s -> 23.86s]  and at the end we'll try to walk through
[23.90s -> 25.96s]  DeepSeek v3 and try to understand
[26.00s -> 28.24s]  what are all the components that make up
[28.24s -> 30.34s]  a state-of-the-art open-source system,
[30.38s -> 34.14s]  or at least on the architecture side, what that looks like.
[34.18s -> 38.36s]  So, mixture of experts is how a lot of
[38.38s -> 41.16s]  the most modern high-performance systems today
[41.18s -> 43.52s]  are built and deployed.
[43.56s -> 48.12s]  So, there was the funny NVIDIA leak of GPT-4
[48.16s -> 53.56s]  actually being potentially revealed as GPT-MOE1-BT.
[53.60s -> 58.00s]  But more broadly, others like Grok
[58.00s -> 61.64s]  and DeepSeek and Llama4 now have all adopted
[61.66s -> 64.04s]  a mixture of experts architecture.
[64.06s -> 67.44s]  And it seems like at this point in 2025
[67.48s -> 69.54s]  that the advantage of mixtures of experts
[69.58s -> 72.62s]  over dense architectures is very much clear, right?
[72.64s -> 76.58s]  Almost all compute scales training a mixture
[76.62s -> 79.26s]  of experts model, if you do it well,
[79.28s -> 81.28s]  is gonna give you benefits over a dense model.
[81.32s -> 83.56s]  And so everyone seems to be doing it
[83.58s -> 85.02s]  in both the East and the West.
[85.06s -> 87.72s]  And so this will be an important thing to understand
[87.72s -> 89.98s]  if you're trying to build sort of the best model
[90.02s -> 92.96s]  that you can for the flops that you have.
[95.48s -> 98.22s]  So, mixture of experts is very simple.
[98.26s -> 100.80s]  It's a very terribly named concept.
[100.82s -> 102.70s]  I think you hear mixture of experts and you think,
[102.72s -> 104.66s]  oh, there must be experts specialized
[104.70s -> 106.56s]  for different domains, and they're like
[106.60s -> 108.66s]  doing different things, like there's a coding expert
[108.70s -> 111.48s]  and like an English expert and a other languages expert.
[112.64s -> 115.48s]  It is very far from that mental model.
[115.50s -> 119.14s]  A mixture of experts is a type of fancy architecture
[119.18s -> 121.54s]  that has several subcomponents called experts
[121.58s -> 123.62s]  that are activated sparsely.
[123.64s -> 126.62s]  And in particular, when you think about mixture of experts
[126.64s -> 128.62s]  you should be thinking about the MLPs.
[128.64s -> 130.72s]  This is where all the action is, right?
[130.76s -> 134.12s]  So a MOE architecture and a non-MOE architecture
[134.16s -> 137.76s]  are gonna be similar in almost all of its components
[137.80s -> 139.12s]  except for one.
[139.16s -> 142.54s]  And that is, if you look at this slide over here,
[142.56s -> 146.20s]  this is the components of a standard transformer.
[146.24s -> 149.16s]  You got your self attention, you got your FFN.
[149.20s -> 151.20s]  If you zoom in, in a dense model
[151.24s -> 153.74s]  the feed forward component just sort of is there,
[153.78s -> 154.98s]  it's one big block.
[155.00s -> 157.04s]  In a sparse model, what you would do
[157.08s -> 159.84s]  is that you would take this FFN and you would split it up
[159.88s -> 161.98s]  or you would copy it depending on how you're gonna be
[162.02s -> 163.22s]  setting up your MOE.
[163.24s -> 165.24s]  You're gonna have multiple copies, let's say,
[165.28s -> 167.76s]  of your FFN, your fully connected networks,
[167.78s -> 169.42s]  and you're gonna have a router that picks
[169.44s -> 172.74s]  some smaller number of those in each forward pass
[172.78s -> 173.98s]  or at each inference.
[174.02s -> 176.24s]  So this is the basic idea behind the MOE
[176.28s -> 178.32s]  and we're gonna replace this one big feed forward
[178.34s -> 180.88s]  on the left side with a selector layer
[180.92s -> 182.48s]  and many smaller ones.
[182.52s -> 184.36s]  And what's the advantage of this thing?
[184.38s -> 186.22s]  Well, if it's sparsely activated,
[186.26s -> 188.36s]  that is, let's say only picks one expert
[188.40s -> 191.80s]  and an expert is the same size as your dense FFN,
[191.82s -> 194.64s]  then the flops between the left side and the right side,
[194.66s -> 196.60s]  the dense model and the MOE model,
[196.64s -> 197.90s]  they have the same flops, right?
[197.92s -> 199.76s]  They're doing the same matrix multiplies
[199.78s -> 201.12s]  as you do your forward pass.
[202.66s -> 206.12s]  So you have more parameters without affecting your flops.
[206.16s -> 207.72s]  And if you're a believer that what matters
[207.76s -> 209.56s]  is having more parameters to, for example,
[209.60s -> 211.36s]  memorize facts about the world,
[211.40s -> 213.90s]  well, this is a great architecture.
[213.94s -> 217.80s]  So you can kind of see the intuition behind MOEs.
[217.84s -> 219.90s]  Hopefully that's all very clear.
[219.94s -> 222.54s]  And you might wonder, okay, so it makes sense
[222.58s -> 225.58s]  that you can get more parameters per flops,
[225.60s -> 228.66s]  but does that translate to actually better performance
[228.70s -> 230.40s]  for the models that you're training?
[230.44s -> 232.34s]  And there's been, I think at this point,
[232.38s -> 234.50s]  many, many, many papers showing
[234.54s -> 236.04s]  that at the same flop count,
[236.08s -> 238.04s]  at the same training amount of flops,
[238.08s -> 241.64s]  you get better performance out of a mixture of experts
[241.68s -> 243.52s]  than out of a dense model.
[243.54s -> 245.68s]  So this is a nice paper.
[245.72s -> 247.42s]  So today I'm gonna go over a couple
[247.46s -> 251.96s]  of the classic Google papers that put this field together.
[251.98s -> 254.96s]  And this is one of them by Fedes et al. 2022,
[254.98s -> 257.78s]  where they show that if you, flops match,
[257.82s -> 260.38s]  you're training flops, so that's the same amount
[260.42s -> 262.08s]  of compute used for training.
[262.12s -> 263.66s]  And as you increase the number of experts,
[263.68s -> 265.36s]  the training loss of your language model
[265.38s -> 266.92s]  just keeps going down and down and down
[266.96s -> 268.06s]  and down and down, right?
[268.08s -> 270.10s]  So more experts, better.
[270.12s -> 271.82s]  Of course the experts aren't free.
[271.86s -> 274.00s]  You need to store the memory for these experts.
[274.02s -> 275.06s]  And when you do parallelism,
[275.10s -> 277.74s]  you're gonna have to think about routing your data
[277.76s -> 280.34s]  into 256 separate experts.
[280.36s -> 282.70s]  So there's gonna be systems complexities.
[282.72s -> 285.12s]  But if you're only thinking about flops,
[285.16s -> 286.48s]  this is a great chart to see,
[286.52s -> 288.20s]  because you have the same flops,
[288.22s -> 291.56s]  but you've gotten free test loss here.
[291.60s -> 293.90s]  And you see the same thing reflected on the right side.
[293.92s -> 295.80s]  As you train for longer and longer,
[295.82s -> 298.66s]  the model, the switch base with 128 experts,
[298.70s -> 303.70s]  the model with more experts gets better perplexity faster.
[303.74s -> 306.00s]  So hopefully that is quite clear.
[306.04s -> 308.54s]  You might say, well, this is a 2022 paper.
[308.58s -> 310.98s]  Is this true sort of on modern architectures,
[310.98s -> 312.76s]  modern scales?
[312.80s -> 315.40s]  It continues to very much be true.
[316.50s -> 319.54s]  AI2 had a very nice paper, Omo,
[319.56s -> 321.44s]  which did a whole bunch of ablations
[321.46s -> 323.24s]  and carefully controlled comparisons
[323.28s -> 326.98s]  into Dense versus MOE and other architectures.
[327.00s -> 329.04s]  And they sort of see exactly the same thing.
[329.08s -> 329.88s]  So here on the left side,
[329.92s -> 331.24s]  this is still from Fettis et al.
[331.28s -> 332.44s]  You see the 7x speed up
[332.48s -> 333.88s]  from having many experts.
[333.92s -> 336.64s]  On the right side, this is the Omo comparison.
[336.68s -> 339.18s]  You see the pink one is the MOE,
[339.22s -> 341.52s]  and the teal one is Dense.
[341.56s -> 343.30s]  And the training loss for the Dense model
[343.32s -> 346.16s]  goes down much more slowly than the MOE.
[346.20s -> 349.04s]  So hopefully, I have in some sense sold you
[349.06s -> 351.60s]  on the value of MOEs and for learning
[351.64s -> 354.34s]  this kind of new, slightly new architecture.
[354.38s -> 356.64s]  So we're gonna pay up a price for all of this,
[356.68s -> 358.04s]  but at least at the FLOPS level,
[358.08s -> 359.60s]  this looks very compelling.
[359.64s -> 360.48s]  So yes, question?
[361.54s -> 362.82s]  The last lecture you mentioned
[362.84s -> 365.34s]  was blank, for instance.
[365.34s -> 370.34s]  So the question was, in the last lecture,
[384.50s -> 387.94s]  I was saying, even small non-FLOPS,
[387.96s -> 391.20s]  negligible FLOPS can be really big in wall clock.
[391.24s -> 393.34s]  Is anything in the MOE world going to look like that?
[393.34s -> 395.78s]  And so, I think one of the drawbacks of MOEs,
[395.82s -> 398.58s]  why that's not the standard thing that's being taught,
[398.62s -> 401.52s]  let's say at 224n, is because there's significant
[401.56s -> 404.02s]  systems complexities to making this thing efficient.
[404.06s -> 405.62s]  So I'll get to that.
[405.66s -> 407.62s]  It's possible to make these things very efficient,
[407.66s -> 410.72s]  especially if each expert lives on a separate device
[410.76s -> 413.70s]  so that you're routing data to different places.
[413.72s -> 415.50s]  You can be very efficient when you do that,
[415.54s -> 417.26s]  but it's not easy, right?
[417.30s -> 419.04s]  So there's a lot of infrastructural concerns
[419.06s -> 420.90s]  and you're gonna see a lot of complexities
[420.94s -> 421.94s]  to get this thing to work.
[421.94s -> 424.38s]  But when it does work, you're putting all of your FLOPS
[424.40s -> 425.24s]  to use.
[428.54s -> 432.28s]  Okay, and then, the last one that I wanted to show
[432.32s -> 435.56s]  is a lot of the companies really love MOEs
[435.58s -> 436.82s]  because you get to present plots
[436.86s -> 438.72s]  that look very compelling like this, right?
[438.76s -> 440.90s]  This was from the DeepSeek V2 paper.
[441.92s -> 444.30s]  On the x-axis, this is a little bit of sleight of hand.
[444.32s -> 446.22s]  This is only activated parameters, right?
[446.26s -> 447.60s]  So this is only the parameters
[447.64s -> 449.66s]  that are used for computation.
[449.66s -> 452.22s]  So you ignore all the deactivated experts,
[452.26s -> 454.96s]  and the y-axis is MMLU performance, right?
[455.00s -> 456.96s]  And we see DeepSeek V2, wow, look,
[457.00s -> 458.94s]  very few activated parameters,
[458.96s -> 461.16s]  really good MMLU performance, right?
[461.20s -> 462.86s]  And so, if you're only interested
[462.90s -> 464.88s]  in both training and inference FLOPS,
[464.90s -> 467.00s]  activated parameters is the name of the game,
[467.04s -> 468.48s]  you get really good performance here.
[468.50s -> 469.98s]  And this is not just an ablation,
[470.00s -> 472.78s]  this is a real system that someone spent a lot of money
[472.82s -> 475.08s]  to train and deployed out in the wild, right?
[475.12s -> 477.38s]  And we'll see this sort of pattern recur
[477.40s -> 479.54s]  in other examples as well.
[480.78s -> 482.04s]  Oh, was there a question?
[483.62s -> 485.82s]  All right, and so the systems thing
[485.84s -> 489.52s]  that is also a benefit is that MOEs
[489.56s -> 492.42s]  allow us to have another axis of parallelism.
[492.46s -> 494.22s]  So I'm gonna get into parallelism in much,
[494.26s -> 496.86s]  much more detail sort of in the systems lectures.
[496.90s -> 499.10s]  I'm gonna talk about how you're gonna take your model
[499.12s -> 501.60s]  and you're gonna cut it up into many small pieces
[501.62s -> 504.16s]  and lay them out across many different devices.
[504.20s -> 506.96s]  But I'm gonna talk at a very high level,
[506.98s -> 510.16s]  but when you have experts, there's a very natural way
[510.18s -> 512.46s]  to parallelize at the expert level, right?
[512.48s -> 515.52s]  So you have multiple different feed forward blocks,
[515.56s -> 517.52s]  you can take each of these experts
[517.56s -> 520.06s]  and you can put them on a different device, right?
[520.10s -> 522.40s]  And because experts are sparsely activated,
[522.44s -> 524.06s]  all you have to do is take your token
[524.10s -> 525.74s]  and route it to the appropriate device
[525.76s -> 527.84s]  and the computation will happen on that device, right?
[527.86s -> 529.84s]  So it's a natural sort of cutting point
[529.88s -> 532.60s]  to be able to shard your model into different devices.
[532.64s -> 534.48s]  And so this is called expert parallelism.
[534.50s -> 537.80s]  And this is another reason why MOEs are very popular, right?
[537.84s -> 540.40s]  If you really want to parallelize really big models,
[540.44s -> 543.40s]  this is a thing that you're gonna have to do.
[543.44s -> 545.68s]  And kind of interestingly enough,
[545.70s -> 549.22s]  I think MOEs developed at Google
[549.24s -> 552.12s]  and many of the frontier labs, the closed labs,
[552.14s -> 554.42s]  were doing it, but I think the open results
[554.46s -> 558.16s]  actually came from China very frequently.
[558.18s -> 561.72s]  Quen and DeepSeek were doing a lot of MOE work
[561.76s -> 564.10s]  last year and it's only really recently
[564.62s -> 566.08s]  that I think Western open source groups
[566.12s -> 568.58s]  have started to do more MOE work.
[568.62s -> 571.82s]  So Mixstrol, Grok, I guess Grok's not open,
[571.86s -> 575.16s]  and then now Llama is now an MOE architecture, right?
[575.20s -> 578.20s]  And so here, Llama 4 just got released, right?
[578.22s -> 579.56s]  Latest and greatest.
[579.60s -> 581.36s]  This is also a sparse MOE.
[581.40s -> 583.36s]  And I'll talk about Llama 4 as well
[583.40s -> 584.80s]  as I go through the lecture.
[587.44s -> 590.84s]  As I said before, so one of the kind of starting points
[590.88s -> 593.74s]  for this is some of the Chinese groups,
[594.72s -> 596.96s]  Quen and DeepSeek, have actually done some really nice work
[596.98s -> 600.16s]  benchmarking and understanding and evaluating
[600.18s -> 602.80s]  some of these MOE results, so these MOEs.
[602.82s -> 606.80s]  So Quen 1.5 was one of the first models
[606.82s -> 610.34s]  that I knew of to have this large scale,
[610.36s -> 613.10s]  well tested, well documented MOE.
[613.14s -> 616.84s]  And what they did was they took a Quen 1.5 dense model
[616.88s -> 619.34s]  and they had a nice trick to upcycle it
[619.38s -> 621.54s]  into a mixture of experts.
[621.58s -> 624.02s]  That's a clever kind of trick to take a dense model
[624.04s -> 625.58s]  and then turn it into an MOE,
[625.62s -> 627.32s]  and they showed sort of significant gains,
[627.36s -> 629.88s]  at least in terms of compute efficiency,
[629.92s -> 632.92s]  while sort of decreasing the total number of parameters
[632.96s -> 636.40s]  relative to their sort of 7B model.
[636.42s -> 638.76s]  DeepSeek, which is now famous,
[638.80s -> 640.80s]  but originally when these papers were coming out
[640.84s -> 643.00s]  were not quite as famous,
[643.04s -> 646.98s]  did some of the, I think, really foundational MOE work
[647.00s -> 649.30s]  in the open source world.
[649.34s -> 651.30s]  A big part of this lecture is actually gonna be
[651.30s -> 655.00s]  tracing the trajectory of the DeepSeek MOE architecture,
[655.04s -> 658.00s]  but if you look at their original DeepSeek MOE paper,
[658.04s -> 660.08s]  you'll see very nice papers, sorry,
[660.12s -> 662.64s]  very nice sort of comparisons showing things like
[662.68s -> 664.22s]  what happens when you train a dense model
[664.24s -> 665.78s]  with a particular amount of flops.
[665.82s -> 668.36s]  What happens when you train a really naive MOE
[668.38s -> 670.76s]  that doesn't do very smart routing, what happens?
[670.78s -> 672.26s]  And then if you use a smarter routing
[672.28s -> 674.96s]  called the switch sort of MOE, what happens?
[675.00s -> 676.00s]  And so you'll see all of these
[676.02s -> 677.50s]  very carefully controlled comparisons
[677.52s -> 680.44s]  and you see as you go from dense to sparse, right?
[680.44s -> 682.68s]  So that's the leftmost column to the rightmost column,
[682.70s -> 684.68s]  you see all of these sort of benchmark metrics
[684.70s -> 688.48s]  very consistently improve for a fixed amount of flops.
[688.52s -> 691.32s]  So this is very consistent.
[691.34s -> 694.06s]  And kind of one thing that I think
[694.08s -> 696.66s]  almost everyone at this point has probably heard of, right,
[696.68s -> 699.66s]  is DeepSeek v3, and that's in some sense
