# Detected language: en (p=1.00)

[0.00s -> 6.00s]  All right, I'd like to get started. Can anyone hear me?
[6.00s -> 8.00s]  Yep, loud and clear. Good.
[8.00s -> 20.00s]  All right, so today my plan is for first I want to spend a few minutes reemphasizing some points from the lecture last week on thread switching, because they turned out to be important points.
[20.00s -> 29.00s]  And then I want to spend most of the lecture talking about something called coordination, which is the larger term for x v 6 is sleep and wake up mechanism.
[29.00s -> 33.00s]  And particularly, I'm going to talk about the lost wake up problem.
[33.00s -> 54.00s]  All right. So one point I want to just mention again is that, is the fact that x v 6, whenever anything calls switch to switch from one thread to another, usually from a kernel thread to the scheduler thread,
[54.00s -> 62.00s]  it's always preceded by an acquire of this process's lock.
[62.00s -> 72.00s]  So a process acquires this lock called switch, which always switches into the scheduler, and it's the scheduler that releases the lock.
[72.00s -> 81.00s]  And in fact, almost always the sequence looks more like this, where the process wants to go to sleep for some reason, yielding the CPU or waiting for something.
[81.00s -> 86.00s]  It acquires a lock on itself. It sets its state.
[86.00s -> 94.00s]  And there's a number of different states. What we saw last week was set its state to runnable.
[94.00s -> 103.00s]  Instead of running and then call switch or sched, which itself calls switch.
[103.00s -> 109.00s]  And that, you know, this switch basically switches threads over into the scheduler thread,
[109.00s -> 117.00s]  which, so a previous call to switch over in the scheduler thread returns.
[117.00s -> 132.00s]  And then the scheduler thread calls release on the lock of the process that's just yielded the CPU.
[132.00s -> 154.00s]  The reason for this, just to repeat, is that the acquisition of this lock on the process prevents the scheduler on a different core from looking right at this point in time and seeing that, oh, this thread is runnable and trying to run it.
[154.00s -> 163.00s]  Because every other core may be running a scheduler loop, which is continually looping over the process table, looking for runnable threads.
[163.00s -> 168.00s]  So any one of them may see that this thread's runnable if we hadn't acquired the process lock.
[168.00s -> 175.00s]  So the fact that we acquire the process lock means that the other schedulers, before they even look at a process's state, must acquire its lock.
[175.00s -> 179.00s]  So we know after this acquisition, know where the thread's going to look at the lock.
[179.00s -> 184.00s]  We can't give up the lock here, though. We can't give up the lock before calling switch.
[184.00s -> 187.00s]  That is, this thread acquires the lock, but it can't give it up.
[187.00s -> 199.00s]  Because if we did, then right after we gave it up, some other core scheduler would probably start running this process, even though the thread is currently running on this core.
[199.00s -> 208.00s]  I mean, having two cores run the same thread using the same stack would cause a pretty instant crash.
[208.00s -> 212.00s]  And therefore, the process acquires the lock and doesn't release it and call switch.
[212.00s -> 221.00s]  And a different thread, namely the scheduler thread, actually releases the lock at a point after this thread has completely stopped using its own stack.
[221.00s -> 234.00s]  So at this point, it's OK for another core scheduler to start running this thread because the thread is now no longer running and has given up the processor.
[234.00s -> 237.00s]  OK, so that's an important point.
[237.00s -> 245.00s]  And it'll come up in a few minutes. It's one of the many constraints on the design of the sleep-wakeup coordination scheme.
[245.00s -> 255.00s]  Any questions about this holding of the P arrow lock across switch?
[255.00s -> 267.00s]  When we have multiple cores, the only reason they're able to have the same view of the lock is because there's a single shared physical memory system, right?
[267.00s -> 269.00s]  That is correct.
[269.00s -> 279.00s]  So is there implementations where there's weird file systems that can't guarantee this atomicity so we can lock?
