# Detected language: en (p=1.00)

[0.00s -> 6.00s]  And can everybody see my screen or the whiteboard that I shared?
[6.00s -> 7.00s]  Yeah.
[7.00s -> 8.00s]  Okay, good.
[9.00s -> 12.00s]  How are people doing with the log lab?
[12.00s -> 21.00s]  Let me start there and just ask how progress is and whether it's more difficult or it's looking okay.
[21.00s -> 25.00s]  Anybody want to sort of report in their experience so far?
[31.00s -> 33.00s]  I hope lots of people have started.
[39.00s -> 40.00s]  Yeah, go ahead.
[40.00s -> 42.00s]  Oh, sorry, go ahead.
[42.00s -> 44.00s]  Okay, cool.
[45.00s -> 47.00s]  I'll go, I'll go.
[47.00s -> 58.00s]  The log lab, I think the first part, the K-log was not as bad.
[58.00s -> 62.00s]  And then the second part was a bit harder.
[62.00s -> 64.00s]  Well, it's a lot harder in my opinion.
[66.00s -> 79.00s]  You just have to figure out a, I guess the hard part was thinking of a solution that it's like, hey, this doesn't cause deadlock.
[79.00s -> 90.00s]  But then you think there are cases where like deadlock could happen if you acquire a buckets lock again and all that stuff.
[90.00s -> 97.00s]  But yeah, I just have to think, you have to think like about extra cases and all that stuff.
[97.00s -> 99.00s]  And after that, it shouldn't be that bad.
[100.00s -> 104.00s]  Anybody else who want to share their experience so far?
[104.00s -> 109.00s]  I wanted to ask, are we allowed to do any part of the lab like lock-free?
[109.00s -> 117.00s]  Because I know like their first part, for example, is pretty, the instructions said pretty clearly like make apparel memory allocator.
[117.00s -> 123.00s]  But can we do it just lock-free and sync, you know, leave it as it is?
[123.00s -> 129.00s]  You're free to do any solution that passes make great is fine.
[130.00s -> 134.00s]  Lock-free, I would be, you could certainly be free to do it.
[134.00s -> 136.00s]  I'd be hesitant to start there.
[136.00s -> 143.00s]  If I were you, I would start first with a more fine grained lock implementation and then move to a lock-free implementation.
[145.00s -> 151.00s]  The reason I started with a lock-free is because if you go to a fine grained, you need to do all of the parallel stuff.
[151.00s -> 156.00s]  But if you just go directly to a lock-free one, then you can keep it on a single free list.
[156.00s -> 163.00s]  And you just need to, you just need to automatize the free and allocate operations.
[163.00s -> 165.00s]  So it actually isn't that bad.
