# Detected language: en (p=1.00)

[0.00s -> 6.00s]  Welcome! Let's have a look at some different example applications for multiple object tracking.
[6.00s -> 12.00s]  As we're going to see, multiple object tracking algorithms can be applied in very many different settings and scenarios.
[12.00s -> 21.00s]  And in fact, for some advanced technical systems, like autonomous cars, multiple object tracking is a necessary enabling technology.
[21.00s -> 25.00s]  Multi-object tracking is about tracking objects that are moving.
[25.00s -> 31.00s]  Exactly what we mean by moving objects depends on the context and what we are interested in.
[31.00s -> 37.00s]  For example, it can be humans, such as football players, or pedestrians moving around in a city.
[37.00s -> 44.00s]  It could also be cyclists of different kinds, like bicyclists in the image shown here, or motorcyclists.
[44.00s -> 52.00s]  Where humans live, there are many different types of vehicles, ranging from small compact cars to large trucks.
[52.00s -> 62.00s]  In other applications, we might be interested in tracking flying objects, such as airplanes or seaborne objects, such as small boats or large ships.
[62.00s -> 69.00s]  Lastly, the objects of interest can also be animals or cells observed in a microscope.
[69.00s -> 77.00s]  In common to all different applications of multiple object tracking is that we have to determine how many objects there are,
[77.00s -> 85.00s]  we have to understand where each object is, where it is going, and any other properties or characteristics that we might be interested in.
[85.00s -> 93.00s]  Lastly, an important aspect of multiple object tracking is that we want to study this over time.
[93.00s -> 104.00s]  The historical origins of multiple object tracking can be traced back to the Second World War, when radar stations began to be used as warning systems against hostile aircraft.
[104.00s -> 109.00s]  The basic idea is to let the radar sensor emit energy.
[109.00s -> 115.00s]  Some of this energy is reflected by the airplane back to the sensor, as illustrated here.
[115.00s -> 127.00s]  Based on the time it takes for the signal to travel from the transceiver to the airplane and then back again, we can figure out the distance or range from the sensor to the airplane.
[127.00s -> 133.00s]  To this day, radar-based tracking of airplanes remains a common application for multiple object tracking.
[133.00s -> 139.00s]  It is still applied for defense applications, but it is also applied in civilian settings.
[139.00s -> 144.00s]  Private and commercial airplanes often carry a transponder that alerts others about its position.
[144.00s -> 148.00s]  Of course, this makes it easier to keep track of the airplane.
[148.00s -> 154.00s]  However, for redundancy and safety, radar stations are also used.
[154.00s -> 161.00s]  A modern example of where it is important to keep track of moving objects is airport surveillance.
[161.00s -> 168.00s]  The control tower is responsible for the planes that take off and land, and also for the planes that are on the ground.
[168.00s -> 178.00s]  In addition, there are many other types of objects that move around at an airport, such as vehicles that fill the planes with fuel or bring luggage to the planes.
[178.00s -> 184.00s]  To avoid collisions at the airport, it is important to keep track of all these different objects.
[184.00s -> 187.00s]  To achieve this, many different systems are used.
[187.00s -> 193.00s]  For example, the airplanes use transponders to transmit their positions to the control tower.
[193.00s -> 197.00s]  There are markings on the ground that can direct the pilots in the right direction.
[197.00s -> 206.00s]  And for redundancy, ground radar stations are also used to keep track of the planes, because the ground radar is complementary to the other systems.
[207.00s -> 218.00s]  The use of ground radar is especially important in poor weather conditions, such as thick fog, when it can be difficult to see the planes except for at a close distance.
[218.00s -> 226.00s]  Historically, there have been accidents with colliding planes where a contributing factor has been a malfunctioning ground radar system.
[226.00s -> 230.00s]  Another surveillance example is crowd surveillance.
[230.00s -> 236.00s]  Here, multiple object tracking is used to keep track of humans that move around in some area of interest.
[236.00s -> 240.00s]  In this example, a camera is overlooking a footpath.
[240.00s -> 247.00s]  The pedestrians are not tracked as individual objects, but rather, the objects of interest are groups of pedestrians.
[247.00s -> 255.00s]  So on the left, you can see the video data with red ellipses drawn to identify the groups of pedestrians.
[255.00s -> 259.00s]  On the right is a top-down perspective, or bird's eye view, of this scene.
[259.00s -> 274.00s]  The edges of the footpath are shown in grey, pedestrian detections are shown as red dots, the outline of the groups are shown by the blue ellipses, and the numbers is an attempt to count the number of individuals in each group.
