# Detected language: en (p=1.00)

[0.00s -> 6.00s]  Welcome. The purpose with this section is to derive exact filtering equations.
[6.00s -> 18.00s]  What we mean by this is a set of equations that describe how to recursively compute the posterior of the state at time k, given measurements up until and including time k.
[18.00s -> 26.00s]  We refer to these equations as a conceptual solution, since it is intractable to directly use them in a filter.
[26.00s -> 37.00s]  Still, having the exact equations is a perfect starting point for developing tractable filtering algorithms that approximate the exact solution.
[37.00s -> 41.00s]  We will present a number of such algorithms later on.
[41.00s -> 55.00s]  The purpose with this video is to visualize the conceptual filtering solution in order to build intuition for it and to understand the overall structure before we zoom in on the underlying technical details.
[56.00s -> 66.00s]  In particular, we will illustrate the results from the prediction and update steps in a toy example where we have unknown data association hypotheses.
[66.00s -> 73.00s]  Before we look at an example, let us present the overall structure of the filtering densities in single object tracking.
[73.00s -> 85.00s]  To do this, we use z 1 to k to denote the sequence of measurements up to time k, and θ 1 to k to denote the sequence of data association hypotheses up to time k.
[85.00s -> 92.00s]  The objective in single object tracking is to compute the posterior density of xk, given all the measurements up to time k.
[92.00s -> 99.00s]  It turns out that this density can be decomposed into one term for every possible sequence of data association hypotheses.
[99.00s -> 108.00s]  In each term, the first factor is the density of the object state, given all the measurements, and a specific sequence of data association hypotheses.
[108.00s -> 115.00s]  That is, this is the density when we assume that we know which of the measurements in the sequence that are object detections.
[115.00s -> 124.00s]  As you may recall, we had a video on single object tracking with known associations, and the recursions described in that video can be used to compute this density.
[124.00s -> 131.00s]  Each term also has a second factor, which is the probability of the data association hypotheses, given the measurements.
[131.00s -> 138.00s]  This factor scales the different terms and gives a smaller weight to unlikely sequences of hypotheses.
[138.00s -> 146.00s]  To arrive at this expression, we first realize that it would be easier for us to express the posterior distribution if the data association hypotheses were known,
[146.00s -> 152.00s]  and we then use the law of total probability to introduce θ 1 to k into the distribution.
[152.00s -> 168.00s]  Finally, we note that the joint distribution of xk and θ 1 to k, given z 1 to k, can be factorized into the distribution of xk, given θ 1 to k, and z 1 to k, times the distribution of θ 1 to k, given z 1 to k.
[168.00s -> 173.00s]  As you can see, we managed to derive the decomposition in just two steps.
[173.00s -> 179.00s]  You should also note that derivation precisely follows the steps that we used in the first video about the measurement model.
[179.00s -> 188.00s]  First, we identify variables that can simplify things for us, then we use the law of total probability to introduce them, and finally we factorize the distribution.
[188.00s -> 195.00s]  By the way, the same technique is also used to drive the Chapman-Kolmogorov equations, so I'm confident that you've seen this before.
[195.00s -> 203.00s]  The predicted density has a similar structure and can also be decomposed into one term for every possible sequence of data association hypotheses.
[203.00s -> 211.00s]  The weights are also the same, since the probabilities of the different data association hypotheses do not change during the prediction step.
[211.00s -> 220.00s]  The only difference is that the densities in each term are the predicted densities of xk plus 1, given measurements and hypotheses up to time k.
